"dir_parent","dir_file","dir_id","dir_url"
"nu","nunavut-webpage","1bQ9qKAGjWXupRKdQcIOxyZf4lKZW5Obe","https://drive.google.com/drive/folders/1bQ9qKAGjWXupRKdQcIOxyZf4lKZW5Obe"
"on","cases-schools-and-child-care-centres-webpage","1ammQkFJl9xeoOKkVNtGDGwu4z5WFImZW","https://drive.google.com/drive/folders/1ammQkFJl9xeoOKkVNtGDGwu4z5WFImZW"
"on","confirmed-positive-cases","16IDLOq9Q50Co4SEGAnu6ajzkKh8Xitgd","https://drive.google.com/drive/folders/16IDLOq9Q50Co4SEGAnu6ajzkKh8Xitgd"
"on","correctional-institutions-inmates-testing","1EH-C9nVEJTGpayGVLM908UA5Z5YHWf6t","https://drive.google.com/drive/folders/1EH-C9nVEJTGpayGVLM908UA5Z5YHWf6t"
"on","correctional-institutions-status","1XaPpPqJSKqA6G9IyJiPcP7vxh5Kd7sXm","https://drive.google.com/drive/folders/1XaPpPqJSKqA6G9IyJiPcP7vxh5Kd7sXm"
"on","covid_alert_downloads_canada","11tsJ8mWvHpIrMK8TAfL_C8YZYvibdyQu","https://drive.google.com/drive/folders/11tsJ8mWvHpIrMK8TAfL_C8YZYvibdyQu"
"on","covid-alert-uploads-ontario","1J80DArVNd-mduOexCY-CNZqBP8plfSTF","https://drive.google.com/drive/folders/1J80DArVNd-mduOexCY-CNZqBP8plfSTF"
"on","effective-reproduction-number","19mPYJXuXcIta5B5bj0s_go5UUfNW0Gu6","https://drive.google.com/drive/folders/19mPYJXuXcIta5B5bj0s_go5UUfNW0Gu6"
"on","hosp-icu-by-lhin","11YJ2FvhHPWrLa__iTyuKAddsIq1yMcAS","https://drive.google.com/drive/folders/11YJ2FvhHPWrLa__iTyuKAddsIq1yMcAS"
"on","licensed-child-care-settings-active","1CFmQCx6Q0GKTqyyKK-UOSvoMb3VgpaNk","https://drive.google.com/drive/folders/1CFmQCx6Q0GKTqyyKK-UOSvoMb3VgpaNk"
"on","licensed-child-care-settings-summary","1Z0Z5nA1CjkqhJyQlIXDHXFJi4H4d_xQG","https://drive.google.com/drive/folders/1Z0Z5nA1CjkqhJyQlIXDHXFJi4H4d_xQG"
"on","long-term-care-home-active","1E8qIt9REhO19jQyq970l9huc1y88OJIr","https://drive.google.com/drive/folders/1E8qIt9REhO19jQyq970l9huc1y88OJIr"
"on","long-term-care-home-resolved","1mjJUsbXVNm2UbdMDI_fNXngz4uCdYGq3","https://drive.google.com/drive/folders/1mjJUsbXVNm2UbdMDI_fNXngz4uCdYGq3"
"on","long-term-care-home-summary","12ZgUvwMaWRpNJlLZeJAzX_D9E26zW_9D","https://drive.google.com/drive/folders/12ZgUvwMaWRpNJlLZeJAzX_D9E26zW_9D"
"on","ongoing-outbreaks","1qgabHZsvO0YC4s5mQxE4G76wOhUF4Ns2","https://drive.google.com/drive/folders/1qgabHZsvO0YC4s5mQxE4G76wOhUF4Ns2"
"on","ontario-webpage","19XxdLXVYaHdeks55FHcgAqFAifbETapT","https://drive.google.com/drive/folders/19XxdLXVYaHdeks55FHcgAqFAifbETapT"
"on","ottawa-cases-and-deaths","18qasHo8WbSbKMKap8O0125vnvUb81OjB","https://drive.google.com/drive/folders/18qasHo8WbSbKMKap8O0125vnvUb81OjB"
