date,outbreak_group,outbreak_subgroup,number_ongoing_outbreaks
11/07/2020,6 Other/Unknown,24 Unknown,1
11/08/2020,1 Congregate Care,1 Long-Term Care Homes,78
11/08/2020,1 Congregate Care,2 Hospitals,23
11/08/2020,1 Congregate Care,3 Retirement Homes,62
11/08/2020,2 Congregate Living,18 Short-term accommodations,2
11/08/2020,2 Congregate Living,22 Congregate other,5
11/08/2020,2 Congregate Living,4 Group Home/Supportive Housing,31
11/08/2020,2 Congregate Living,5 Correctional Facility,3
11/08/2020,2 Congregate Living,6 Shelter,11
11/08/2020,3 Education,10 School - Post-Secondary,2
11/08/2020,3 Education,11 Child care,53
11/08/2020,3 Education,7 School - Elementary,43
11/08/2020,3 Education,8 School - Secondary,13
11/08/2020,3 Education,9 School - Elementary/Secondary,3
11/08/2020,4 Workplace,12 Workplace - Farm,4
11/08/2020,4 Workplace,13 Workplace - Food Processing,10
11/08/2020,4 Workplace,14 Workplace - Other,127
11/08/2020,4 Workplace,15 Retail,6
11/08/2020,4 Workplace,16 Medical/Health Service,6
11/08/2020,5 Recreational,17 Bar/restaurant/nightclub,12
11/08/2020,5 Recreational,19 Recreational fitness,10
11/08/2020,5 Recreational,20 Personal service settings,2
11/08/2020,5 Recreational,21 Other recreation,15
11/08/2020,6 Other/Unknown,23 Other,11
11/08/2020,6 Other/Unknown,24 Unknown,3
11/09/2020,1 Congregate Care,1 Long-Term Care Homes,83
11/09/2020,1 Congregate Care,2 Hospitals,22
11/09/2020,1 Congregate Care,3 Retirement Homes,62
11/09/2020,2 Congregate Living,18 Short-term accommodations,2
11/09/2020,2 Congregate Living,22 Congregate other,7
11/09/2020,2 Congregate Living,4 Group Home/Supportive Housing,31
11/09/2020,2 Congregate Living,5 Correctional Facility,3
11/09/2020,2 Congregate Living,6 Shelter,11
11/09/2020,3 Education,10 School - Post-Secondary,2
11/09/2020,3 Education,11 Child care,52
11/09/2020,3 Education,7 School - Elementary,46
11/09/2020,3 Education,8 School - Secondary,11
11/09/2020,3 Education,9 School - Elementary/Secondary,3
11/09/2020,4 Workplace,12 Workplace - Farm,4
11/09/2020,4 Workplace,13 Workplace - Food Processing,10
11/09/2020,4 Workplace,14 Workplace - Other,129
11/09/2020,4 Workplace,15 Retail,4
11/09/2020,4 Workplace,16 Medical/Health Service,6
11/09/2020,5 Recreational,17 Bar/restaurant/nightclub,14
11/09/2020,5 Recreational,19 Recreational fitness,10
11/09/2020,5 Recreational,20 Personal service settings,2
11/09/2020,5 Recreational,21 Other recreation,15
11/09/2020,6 Other/Unknown,23 Other,11
11/09/2020,6 Other/Unknown,24 Unknown,3
11/10/2020,1 Congregate Care,1 Long-Term Care Homes,90
11/10/2020,1 Congregate Care,2 Hospitals,21
11/10/2020,1 Congregate Care,3 Retirement Homes,61
11/10/2020,2 Congregate Living,18 Short-term accommodations,2
11/10/2020,2 Congregate Living,22 Congregate other,7
11/10/2020,2 Congregate Living,4 Group Home/Supportive Housing,31
11/10/2020,2 Congregate Living,5 Correctional Facility,2
11/10/2020,2 Congregate Living,6 Shelter,11
11/10/2020,3 Education,10 School - Post-Secondary,2
11/10/2020,3 Education,11 Child care,54
11/10/2020,3 Education,7 School - Elementary,48
11/10/2020,3 Education,8 School - Secondary,10
11/10/2020,3 Education,9 School - Elementary/Secondary,4
11/10/2020,4 Workplace,12 Workplace - Farm,3
11/10/2020,4 Workplace,13 Workplace - Food Processing,10
11/10/2020,4 Workplace,14 Workplace - Other,133
11/10/2020,4 Workplace,15 Retail,4
11/10/2020,4 Workplace,16 Medical/Health Service,6
11/10/2020,5 Recreational,17 Bar/restaurant/nightclub,15
