"","Region name","Region classification","Measures","Active case rate (per 100,000 population)","Active cases","Population"
"30","City Of Cold Lake","Enhanced","Enhanced measures in place","313.7","62","19763"
"31","City Of Edmonton","Enhanced","Enhanced measures in place","590.5","6033","1021628"
"32","City Of Fort Saskatchewan","Enhanced","Enhanced measures in place","276.8","74","26738"
"33","City Of Grande Prairie","Enhanced","Enhanced measures in place","95","70","73697"
"34","City Of Lacombe","Enhanced","Enhanced measures in place","209.2","39","18640"
"35","City Of Leduc","Enhanced","Enhanced measures in place","342.2","113","33017"
"36","City Of Lethbridge","Enhanced","Enhanced measures in place","212.1","210","98987"
"37","City Of Lloydminster","Open","Help prevent the spread","13.5","3","22277"
"38","City Of Medicine Hat","Enhanced","Enhanced measures in place","154.3","105","68057"
"39","City Of Red Deer","Enhanced","Enhanced measures in place","242.6","257","105939"
"40","City Of Spruce Grove","Enhanced","Enhanced measures in place","339.8","126","37076"
"41","City Of St. Albert","Enhanced","Enhanced measures in place","432.4","298","68923"
"42","City Of Wetaskiwin","Enhanced","Enhanced measures in place","517.9","87","16799"
"43","Clear Hills County","Open","Help prevent the spread","0","0","2998"
"44","Clearwater County","Enhanced","Enhanced measures in place","187.2","38","20304"
"45","County Of Barrhead No. 11","Open","Help prevent the spread","59.3","6","10116"
"46","County Of Forty Mile No. 8","Enhanced","Enhanced measures in place","294.9","19","6443"
"47","County Of Grande Prairie No. 1","Enhanced","Enhanced measures in place","67.1","21","31319"
"48","County Of Minburn No. 27","Enhanced","Enhanced measures in place","115.6","12","10380"
"49","County Of Newell","Enhanced","Enhanced measures in place","296.6","24","8093"
"50","County Of Northern Lights","Open","Help prevent the spread","108.1","4","3702"
"51","County Of Paintearth No. 18","Open","Help prevent the spread","25.3","1","3947"
"52","County Of St. Paul No. 19","Enhanced","Enhanced measures in place","309.2","51","16493"
"53","County Of Stettler No. 6","Enhanced","Enhanced measures in place","104.4","13","12449"
"54","County Of Two Hills No. 21","Enhanced","Enhanced measures in place","268.1","15","5596"
"55","County Of Vermilion River","Enhanced","Enhanced measures in place","77.5","10","12907"
"56","County Of Warner No. 5","Enhanced","Enhanced measures in place","300.2","33","10994"
"57","County Of Wetaskiwin No. 10","Enhanced","Enhanced measures in place","157.1","16","10181"
"58","Cypress County","Enhanced","Enhanced measures in place","196.1","22","11218"
"59","Edmonton - Abbottsfield","Enhanced","Enhanced measures in place","674","98","14540"
"60","Edmonton - Bonnie Doon","Enhanced","Enhanced measures in place","372.8","360","96574"
"61","Edmonton - Castle Downs","Enhanced","Enhanced measures in place","796.9","562","70526"
"62","Edmonton - Duggan","Enhanced","Enhanced measures in place","368.6","149","40428"
"63","Edmonton - Eastwood","Enhanced","Enhanced measures in place","738.3","536","72600"
"64","Edmonton - Jasper Place","Enhanced","Enhanced measures in place","633.1","298","47069"
"65","Edmonton - Mill Woods South & East","Enhanced","Enhanced measures in place","726.7","603","82983"
"66","Edmonton - Mill Woods West","Enhanced","Enhanced measures in place","553.6","283","51122"
"67","Edmonton - Ne","Enhanced","Enhanced measures in place","644.5","573","88901"
"68","Edmonton - Northgate","Enhanced","Enhanced measures in place","839.8","692","82404"
"69","Edmonton - Rutherford","Enhanced","Enhanced measures in place","615.4","641","104153"
"70","Edmonton - Twin Brooks","Enhanced","Enhanced measures in place","368.6","279","75685"
"71","Edmonton - West Jasper Place","Enhanced","Enhanced measures in place","451.3","456","101046"
"72","Edmonton - Woodcroft East","Enhanced","Enhanced measures in place","539.9","326","60381"
"73","Edmonton - Woodcroft West","Enhanced","Enhanced measures in place","545","177","32479"
"74","Flagstaff County","Enhanced","Enhanced measures in place","455.6","39","8560"
"75","Foothills County","Enhanced","Enhanced measures in place","206.4","46","22291"
"76","I.d. No. 12 (Jasper National Park)","Open","Help prevent the spread","0","0","0"
"77","I.d. No. 13 (Elk Island)","Open","Help prevent the spread","0","0","0"
"78","I.d. No. 24 (Wood Buffalo)","Open","Help prevent the spread","0","0","565"
"79","I.d. No. 25 (Willmore Wilderness)","Open","Help prevent the spread","0","0","0"
"80","I.d. No. 349","Open","Help prevent the spread","0","0","0"
"81","I.d. No. 4 (Waterton)","Open","Help prevent the spread","0","0","166"
"82","I.d. No. 9 (Banff)","Enhanced","Enhanced measures in place","1335.9","185","13849"
"83","Kananaskis Improvement District","Open","Help prevent the spread","0","0","1"
"84","Kneehill County","Enhanced","Enhanced measures in place","110","12","10909"
"85","Lac La Biche County","Enhanced","Enhanced measures in place","532","54","10150"
"86","Lac Ste. Anne County","Enhanced","Enhanced measures in place","217.7","36","16534"
"87","Lacombe County","Enhanced","Enhanced measures in place","211.2","46","21779"
"88","Lamont County","Open","Help prevent the spread","101.5","8","7881"
"89","Leduc County","Enhanced","Enhanced measures in place","254.6","61","23958"
"90","Lethbridge County","Enhanced","Enhanced measures in place","265.6","67","25228"
"91","Mackenzie County","Open","Help prevent the spread","24.8","6","24171"
"92","Mountain View County","Enhanced","Enhanced measures in place","74.3","17","22893"
"93","Municipal District Of Acadia No. 34","Open","Help prevent the spread","1629.7","6","368"
"94","Municipal District Of Bighorn No. 8","Enhanced","Enhanced measures in place","579.5","29","5004"
"95","Municipal District Of Bonnyville No. 87","Enhanced","Enhanced measures in place","134.6","24","17826"
"96","Municipal District Of Fairview No. 136","Open","Help prevent the spread","19.8","1","5061"
"97","Municipal District Of Greenview No. 16","Enhanced","Enhanced measures in place","192.6","29","15058"
"98","Municipal District Of Lesser Slave River No. 124","Enhanced","Enhanced measures in place","287.3","31","10790"
"99","Municipal District Of Opportunity No. 17","Enhanced","Enhanced measures in place","90.3","6","6646"
"100","Municipal District Of Peace No. 135","Enhanced","Enhanced measures in place","244.9","39","15922"
"101","Municipal District Of Pincher Creek No. 9","Open","Help prevent the spread","96.4","8","8302"
"102","Municipal District Of Provost No. 52","Open","Help prevent the spread","41.4","2","4828"
"103","Municipal District Of Ranchland No. 66","Open","Help prevent the spread","0","0","0"
"104","Municipal District Of Smoky River No. 130","Open","Help prevent the spread","22.7","1","4410"
"105","Municipal District Of Spirit River No. 133","Open","Help prevent the spread","97","3","3092"
"106","Municipal District Of Taber","Enhanced","Enhanced measures in place","535.4","101","18863"
"107","Municipal District Of Wainwright No. 61","Enhanced","Enhanced measures in place","84.7","10","11810"
"108","Municipal District Of Willow Creek No. 26","Enhanced","Enhanced measures in place","60.9","10","16427"
"109","Municipality Of Crowsnest Pass","Open","Help prevent the spread","31.6","2","6321"
"110","Municipality Of Jasper","Enhanced","Enhanced measures in place","534.2","30","5616"
"111","Northern Sunrise County","Open","Help prevent the spread","219.6","7","3188"
"112","Parkland County","Enhanced","Enhanced measures in place","403.3","134","33223"
"113","Ponoka County","Enhanced","Enhanced measures in place","808.2","222","27468"
"114","Red Deer County","Enhanced","Enhanced measures in place","221.1","73","33017"
"115","Regional Municipality Of Wood Buffalo","Enhanced","Enhanced measures in place","280.8","233","82974"
"116","Rocky View County","Enhanced","Enhanced measures in place","269.7","117","43377"
"117","Saddle Hills County","Open","Help prevent the spread","0","0","1523"
"118","Smoky Lake County","Enhanced","Enhanced measures in place","890.7","75","8421"
"119","Special Areas No. 2","Open","Help prevent the spread","109.7","5","4556"
"120","Special Areas No. 3","Open","Help prevent the spread","122.4","3","2451"
"121","Special Areas No. 4","Open","Help prevent the spread","279.2","6","2149"
"122","Starland County","Open","Help prevent the spread","207.5","4","1928"
"123","Strathcona County","Enhanced","Enhanced measures in place","430.5","425","98714"
"124","Sturgeon County","Enhanced","Enhanced measures in place","343.3","96","27964"
"125","Thorhild County","Open","Help prevent the spread","146.7","4","2726"
"126","Town Of Canmore","Enhanced","Enhanced measures in place","571.5","93","16273"
"127","Town Of Cochrane","Enhanced","Enhanced measures in place","144","48","33328"
"128","Town Of Drumheller","Enhanced","Enhanced measures in place","499.7","45","9006"
"129","Town Of High River","Enhanced","Enhanced measures in place","216.2","36","16650"
"130","Town Of Hinton","Enhanced","Enhanced measures in place","102.2","12","11742"
"131","Town Of Morinville","Enhanced","Enhanced measures in place","370.6","42","11332"
"132","Town Of Okotoks","Enhanced","Enhanced measures in place","174.3","61","34999"
"133","Town Of Olds","Enhanced","Enhanced measures in place","184.7","23","12452"
"134","Town Of Stony Plain","Enhanced","Enhanced measures in place","266.5","54","20264"
"135","Town Of Strathmore","Enhanced","Enhanced measures in place","156.3","29","18550"
"136","Town Of Sylvan Lake","Enhanced","Enhanced measures in place","380.3","64","16829"
"137","Town Of Whitecourt","Enhanced","Enhanced measures in place","69.8","10","14322"
"138","Vulcan County","Enhanced","Enhanced measures in place","757.2","70","9245"
"139","Westlock County","Enhanced","Enhanced measures in place","87.8","12","13673"
"140","Wheatland County","Enhanced","Enhanced measures in place","282","19","6737"
"141","Woodlands County","Open","Help prevent the spread","0","0","1358"
"142","Yellowhead County","Enhanced","Enhanced measures in place","152.6","30","19658"
