"","Region name","Region classification","Measures","Active case rate (per 100,000 population)","Active cases","Population"
"97","Municipal District Of Greenview No. 16","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","106.3","16","15058"
"98","Municipal District Of Lesser Slave River No. 124","Open","Gathering Restrictions          Public Health Orders","46.3","5","10790"
"99","Municipal District Of Opportunity No. 17","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","285.9","19","6646"
"100","Municipal District Of Peace No. 135","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","213.5","34","15922"
"101","Municipal District Of Pincher Creek No. 9","Open","Gathering Restrictions          Public Health Orders","36.1","3","8302"
"102","Municipal District Of Provost No. 52","Open","Gathering Restrictions          Public Health Orders","0","0","4828"
"103","Municipal District Of Ranchland No. 66","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"104","Municipal District Of Smoky River No. 130","Open","Gathering Restrictions          Public Health Orders","0","0","4410"
"105","Municipal District Of Spirit River No. 133","Open","Gathering Restrictions          Public Health Orders","32.3","1","3092"
"106","Municipal District Of Taber","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","180.2","34","18863"
"107","Municipal District Of Wainwright No. 61","Open","Gathering Restrictions          Public Health Orders","8.5","1","11810"
"108","Municipal District Of Willow Creek No. 26","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","79.1","13","16427"
"109","Municipality Of Crowsnest Pass","Open","Gathering Restrictions          Public Health Orders","0","0","6321"
"110","Municipality Of Jasper","Open","Gathering Restrictions          Public Health Orders","0","0","5616"
"111","Northern Sunrise County","Open","Gathering Restrictions          Public Health Orders","156.8","5","3188"
"112","Parkland County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","144.5","48","33223"
"113","Ponoka County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","207.5","57","27468"
"114","Red Deer County","Open","Gathering Restrictions          Public Health Orders","24.2","8","33017"
"115","Regional Municipality Of Wood Buffalo","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","139.8","116","82974"
"116","Rocky View County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","131.4","57","43377"
"117","Saddle Hills County","Open","Gathering Restrictions          Public Health Orders","0","0","1523"
"118","Smoky Lake County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","724.4","61","8421"
"119","Special Areas No. 2","Open","Gathering Restrictions          Public Health Orders","0","0","4556"
"120","Special Areas No. 3","Open","Gathering Restrictions          Public Health Orders","0","0","2451"
"121","Special Areas No. 4","Open","Gathering Restrictions          Public Health Orders","46.5","1","2149"
"122","Starland County","Open","Gathering Restrictions          Public Health Orders","51.9","1","1928"
"123","Strathcona County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","153","151","98714"
"124","Sturgeon County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","153.8","43","27964"
"125","Thorhild County","Open","Gathering Restrictions          Public Health Orders","36.7","1","2726"
"126","Town Of Canmore","Open","Gathering Restrictions          Public Health Orders","24.6","4","16273"
"127","Town Of Cochrane","Open","Gathering Restrictions          Public Health Orders","45","15","33328"
"128","Town Of Drumheller","Open","Gathering Restrictions          Public Health Orders","55.5","5","9006"
"129","Town Of High River","Open","Gathering Restrictions          Public Health Orders","42","7","16650"
"130","Town Of Hinton","Open","Gathering Restrictions          Public Health Orders","8.5","1","11742"
"131","Town Of Morinville","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","300","34","11332"
"132","Town Of Okotoks","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","82.9","29","34999"
"133","Town Of Olds","Open","Gathering Restrictions          Public Health Orders","8","1","12452"
"134","Town Of Stony Plain","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","143.1","29","20264"
"135","Town Of Strathmore","Open","Gathering Restrictions          Public Health Orders","48.5","9","18550"
"136","Town Of Sylvan Lake","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","65.4","11","16829"
"137","Town Of Whitecourt","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","146.6","21","14322"
"138","Vulcan County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","400.2","37","9245"
"139","Westlock County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","102.4","14","13673"
"140","Wheatland County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","326.6","22","6737"
"141","Woodlands County","Open","Gathering Restrictions          Public Health Orders","73.7","1","1358"
"142","Yellowhead County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","61","12","19658"
