Date,Health Authority,Metric,Count
2020-01-28,Vancouver Coastal,New Tests,0
2020-01-28,Vancouver Coastal,Total Tests,0
2020-01-28,Vancouver Coastal,Positivity,0
2020-01-28,Vancouver Coastal,Turn Around,0
2020-01-28,Vancouver Island,New Tests,0
2020-01-28,Vancouver Island,Total Tests,0
2020-01-28,Vancouver Island,Positivity,0
2020-01-28,Vancouver Island,Turn Around,0
2020-01-29,BC,New Tests,26
2020-01-29,BC,Total Tests,65
2020-01-29,BC,Positivity,0
2020-01-29,BC,Turn Around,56.9
2020-01-29,Fraser,New Tests,15
2020-01-29,Fraser,Total Tests,38
2020-01-29,Fraser,Positivity,0
2020-01-29,Fraser,Turn Around,64
2020-01-29,Interior,New Tests,0
2020-01-29,Interior,Total Tests,0
2020-01-29,Interior,Positivity,0
2020-01-29,Interior,Turn Around,0
2020-01-29,Northern,New Tests,1
2020-01-29,Northern,Total Tests,1
2020-01-29,Northern,Positivity,0
2020-01-29,Northern,Turn Around,104
2020-01-29,Unknown,New Tests,0
2020-01-29,Unknown,Total Tests,0
2020-01-29,Unknown,Positivity,0
2020-01-29,Unknown,Turn Around,0
2020-01-29,Vancouver Coastal,New Tests,8
2020-01-29,Vancouver Coastal,Total Tests,23
2020-01-29,Vancouver Coastal,Positivity,0
2020-01-29,Vancouver Coastal,Turn Around,44
2020-01-29,Vancouver Island,New Tests,2
2020-01-29,Vancouver Island,Total Tests,3
2020-01-29,Vancouver Island,Positivity,0
2020-01-29,Vancouver Island,Turn Around,32
2020-01-30,BC,New Tests,33
2020-01-30,BC,Total Tests,98
2020-01-30,BC,Positivity,1.02
2020-01-30,BC,Turn Around,55.3
2020-01-30,Fraser,New Tests,14
2020-01-30,Fraser,Total Tests,52
2020-01-30,Fraser,Positivity,0
2020-01-30,Fraser,Turn Around,61.1
2020-01-30,Interior,New Tests,0
2020-01-30,Interior,Total Tests,0
2020-01-30,Interior,Positivity,0
2020-01-30,Interior,Turn Around,0
2020-01-30,Northern,New Tests,0
2020-01-30,Northern,Total Tests,0
2020-01-30,Northern,Positivity,0
2020-01-30,Northern,Turn Around,0
2020-01-30,Unknown,New Tests,0
2020-01-30,Unknown,Total Tests,0
2020-01-30,Unknown,Positivity,0
2020-01-30,Unknown,Turn Around,0
2020-01-30,Vancouver Coastal,New Tests,18
2020-01-30,Vancouver Coastal,Total Tests,41
2020-01-30,Vancouver Coastal,Positivity,0
2020-01-30,Vancouver Coastal,Turn Around,50.7
2020-01-30,Vancouver Island,New Tests,1
2020-01-30,Vancouver Island,Total Tests,4
2020-01-30,Vancouver Island,Positivity,0
2020-01-30,Vancouver Island,Turn Around,56
2020-01-31,BC,New Tests,23
2020-01-31,BC,Total Tests,121
2020-01-31,BC,Positivity,0.84
2020-01-31,BC,Turn Around,42.4
2020-01-31,Fraser,New Tests,18
2020-01-31,Fraser,Total Tests,70
2020-01-31,Fraser,Positivity,0
2020-01-31,Fraser,Turn Around,45.3
2020-01-31,Interior,New Tests,1
2020-01-31,Interior,Total Tests,1
2020-01-31,Interior,Positivity,0
2020-01-31,Interior,Turn Around,32
2020-01-31,Northern,New Tests,0
2020-01-31,Northern,Total Tests,0
2020-01-31,Northern,Positivity,0
2020-01-31,Northern,Turn Around,0
2020-01-31,Unknown,New Tests,0
2020-01-31,Unknown,Total Tests,0
2020-01-31,Unknown,Positivity,0
2020-01-31,Unknown,Turn Around,0
2020-01-31,Vancouver Coastal,New Tests,4
2020-01-31,Vancouver Coastal,Total Tests,45
2020-01-31,Vancouver Coastal,Positivity,0
2020-01-31,Vancouver Coastal,Turn Around,32
2020-01-31,Vancouver Island,New Tests,0
2020-01-31,Vancouver Island,Total Tests,0
2020-01-31,Vancouver Island,Positivity,0
2020-01-31,Vancouver Island,Turn Around,0
2020-02-01,BC,New Tests,24
2020-02-01,BC,Total Tests,145
2020-02-01,BC,Positivity,0.72
2020-02-01,BC,Turn Around,37
2020-02-01,Fraser,New Tests,13
2020-02-01,Fraser,Total Tests,83
2020-02-01,Fraser,Positivity,0
2020-02-01,Fraser,Turn Around,33.8
2020-02-01,Interior,New Tests,2
2020-02-01,Interior,Total Tests,3
2020-02-01,Interior,Positivity,0
2020-02-01,Interior,Turn Around,32
2020-02-01,Northern,New Tests,0
2020-02-01,Northern,Total Tests,0
2020-02-01,Northern,Positivity,0
2020-02-01,Northern,Turn Around,0
2020-02-01,Unknown,New Tests,0
2020-02-01,Unknown,Total Tests,0
2020-02-01,Unknown,Positivity,0
2020-02-01,Unknown,Turn Around,0
2020-02-01,Vancouver Coastal,New Tests,7
2020-02-01,Vancouver Coastal,Total Tests,52
2020-02-01,Vancouver Coastal,Positivity,1.92
2020-02-01,Vancouver Coastal,Turn Around,38.9
2020-02-01,Vancouver Island,New Tests,2
2020-02-01,Vancouver Island,Total Tests,6
2020-02-01,Vancouver Island,Positivity,0
2020-02-01,Vancouver Island,Turn Around,56
2020-02-02,BC,New Tests,16
2020-02-02,BC,Total Tests,161
2020-02-02,BC,Positivity,1.48
2020-02-02,BC,Turn Around,42.5
2020-02-02,Fraser,New Tests,5
2020-02-02,Fraser,Total Tests,88
2020-02-02,Fraser,Positivity,0
2020-02-02,Fraser,Turn Around,56
2020-02-02,Interior,New Tests,0
2020-02-02,Interior,Total Tests,0
2020-02-02,Interior,Positivity,0
2020-02-02,Interior,Turn Around,0
2020-02-02,Northern,New Tests,0
2020-02-02,Northern,Total Tests,0
2020-02-02,Northern,Positivity,0
2020-02-02,Northern,Turn Around,0
2020-02-02,Unknown,New Tests,0
2020-02-02,Unknown,Total Tests,0
2020-02-02,Unknown,Positivity,0
2020-02-02,Unknown,Turn Around,0
2020-02-02,Vancouver Coastal,New Tests,9
2020-02-02,Vancouver Coastal,Total Tests,61
2020-02-02,Vancouver Coastal,Positivity,3.39
2020-02-02,Vancouver Coastal,Turn Around,26.7
2020-02-02,Vancouver Island,New Tests,2
2020-02-02,Vancouver Island,Total Tests,8
2020-02-02,Vancouver Island,Positivity,0
2020-02-02,Vancouver Island,Turn Around,80
2020-02-03,BC,New Tests,56
2020-02-03,BC,Total Tests,217
2020-02-03,BC,Positivity,1.1
2020-02-03,BC,Turn Around,46.6
2020-02-03,Fraser,New Tests,40
2020-02-03,Fraser,Total Tests,128
2020-02-03,Fraser,Positivity,0
2020-02-03,Fraser,Turn Around,46.4
2020-02-03,Interior,New Tests,0
2020-02-03,Interior,Total Tests,0
2020-02-03,Interior,Positivity,0
2020-02-03,Interior,Turn Around,0
2020-02-03,Northern,New Tests,0
2020-02-03,Northern,Total Tests,0
2020-02-03,Northern,Positivity,0
2020-02-03,Northern,Turn Around,0
2020-02-03,Unknown,New Tests,0
2020-02-03,Unknown,Total Tests,0
2020-02-03,Unknown,Positivity,0
2020-02-03,Unknown,Turn Around,0
2020-02-03,Vancouver Coastal,New Tests,15
2020-02-03,Vancouver Coastal,Total Tests,76
2020-02-03,Vancouver Coastal,Positivity,2.99
2020-02-03,Vancouver Coastal,Turn Around,46.4
2020-02-03,Vancouver Island,New Tests,1
