"","Region name","Region classification","Measures","Active case rate (per 100,000 population)","Active cases","Population"
"96","Municipal District Of Fairview No. 136","Open","Help prevent the spread","59.3","3","5061"
"97","Municipal District Of Greenview No. 16","Enhanced","Enhanced measures in place","212.5","32","15058"
"98","Municipal District Of Lesser Slave River No. 124","Enhanced","Enhanced measures in place","166.8","18","10790"
"99","Municipal District Of Opportunity No. 17","Enhanced","Enhanced measures in place","165.5","11","6646"
"100","Municipal District Of Peace No. 135","Enhanced","Enhanced measures in place","213.5","34","15922"
"101","Municipal District Of Pincher Creek No. 9","Open","Help prevent the spread","60.2","5","8302"
"102","Municipal District Of Provost No. 52","Open","Help prevent the spread","41.4","2","4828"
"103","Municipal District Of Ranchland No. 66","Open","Help prevent the spread","0","0","0"
"104","Municipal District Of Smoky River No. 130","Open","Help prevent the spread","22.7","1","4410"
"105","Municipal District Of Spirit River No. 133","Open","Help prevent the spread","97","3","3092"
"106","Municipal District Of Taber","Enhanced","Enhanced measures in place","487.7","92","18863"
"107","Municipal District Of Wainwright No. 61","Open","Help prevent the spread","76.2","9","11810"
"108","Municipal District Of Willow Creek No. 26","Enhanced","Enhanced measures in place","79.1","13","16427"
"109","Municipality Of Crowsnest Pass","Open","Help prevent the spread","31.6","2","6321"
"110","Municipality Of Jasper","Enhanced","Enhanced measures in place","552","31","5616"
"111","Northern Sunrise County","Open","Help prevent the spread","125.5","4","3188"
"112","Parkland County","Enhanced","Enhanced measures in place","382.3","127","33223"
"113","Ponoka County","Enhanced","Enhanced measures in place","910.2","250","27468"
"114","Red Deer County","Enhanced","Enhanced measures in place","184.8","61","33017"
"115","Regional Municipality Of Wood Buffalo","Enhanced","Enhanced measures in place","267.6","222","82974"
"116","Rocky View County","Enhanced","Enhanced measures in place","269.7","117","43377"
"117","Saddle Hills County","Open","Help prevent the spread","65.7","1","1523"
"118","Smoky Lake County","Enhanced","Enhanced measures in place","736.3","62","8421"
"119","Special Areas No. 2","Open","Help prevent the spread","65.8","3","4556"
"120","Special Areas No. 3","Open","Help prevent the spread","122.4","3","2451"
"121","Special Areas No. 4","Open","Help prevent the spread","279.2","6","2149"
"122","Starland County","Open","Help prevent the spread","207.5","4","1928"
"123","Strathcona County","Enhanced","Enhanced measures in place","427.5","422","98714"
"124","Sturgeon County","Enhanced","Enhanced measures in place","350.4","98","27964"
"125","Thorhild County","Open","Help prevent the spread","110","3","2726"
"126","Town Of Canmore","Enhanced","Enhanced measures in place","553.1","90","16273"
"127","Town Of Cochrane","Enhanced","Enhanced measures in place","120","40","33328"
"128","Town Of Drumheller","Enhanced","Enhanced measures in place","577.4","52","9006"
"129","Town Of High River","Enhanced","Enhanced measures in place","198.2","33","16650"
"130","Town Of Hinton","Enhanced","Enhanced measures in place","85.2","10","11742"
"131","Town Of Morinville","Enhanced","Enhanced measures in place","344.2","39","11332"
"132","Town Of Okotoks","Enhanced","Enhanced measures in place","185.7","65","34999"
"133","Town Of Olds","Enhanced","Enhanced measures in place","168.7","21","12452"
"134","Town Of Stony Plain","Enhanced","Enhanced measures in place","276.4","56","20264"
"135","Town Of Strathmore","Enhanced","Enhanced measures in place","150.9","28","18550"
"136","Town Of Sylvan Lake","Enhanced","Enhanced measures in place","285.2","48","16829"
"137","Town Of Whitecourt","Open","Help prevent the spread","62.8","9","14322"
"138","Vulcan County","Enhanced","Enhanced measures in place","854.5","79","9245"
"139","Westlock County","Enhanced","Enhanced measures in place","73.1","10","13673"
"140","Wheatland County","Enhanced","Enhanced measures in place","296.9","20","6737"
"141","Woodlands County","Open","Help prevent the spread","0","0","1358"
"142","Yellowhead County","Enhanced","Enhanced measures in place","122.1","24","19658"
