Date,Region,"New Cases","Total Cases","Confirmed Cases","Active Cases","Inpatient Hospitalizations","ICU Hospitalizations","Recovered Cases",Deaths,"Age 19 and Under","Age 20 to 39","Ages 40 to 59","Age 60 to 79","Age 80+"
2020/05/15,"Far North",8,218,218,147,0,0,70,1,,,,,
2020/05/15,North,0,106,106,18,1,0,87,1,,,,,
2020/05/15,"Central (excluding Saskatoon)",0,12,12,1,0,0,10,1,,,,,
2020/05/15,Saskatoon,0,163,163,9,3,3,152,2,,,,,
2020/05/15,"South (excluding Regina)",0,15,15,0,0,0,15,0,,,,,
2020/05/15,Regina,0,76,76,1,2,0,74,1,,,,,
2020/05/15,Total,8,590,590,176,6,3,408,6,,,,,
2020/05/16,"Far North",0,218,218,127,0,0,90,1,,,,,
2020/05/16,North,0,106,106,13,1,0,92,1,,,,,
2020/05/16,"Central (excluding Saskatoon)",0,12,12,1,0,0,10,1,,,,,
2020/05/16,Saskatoon,1,164,164,10,2,3,152,2,,,,,
2020/05/16,"South (excluding Regina)",0,15,15,0,0,0,15,0,,,,,
2020/05/16,Regina,0,76,76,1,2,0,74,1,,,,,
2020/05/16,Total,1,591,591,152,5,3,433,6,,,,,
2020/05/17,"Far North",1,219,219,118,0,0,100,1,,,,,
2020/05/17,North,0,106,106,12,0,0,93,1,,,,,
2020/05/17,"Central (excluding Saskatoon)",0,12,12,1,0,0,10,1,,,,,
2020/05/17,Saskatoon,0,164,164,10,1,3,152,2,,,,,
2020/05/17,"South (excluding Regina)",0,15,15,0,0,0,15,0,,,,,
2020/05/17,Regina,0,76,76,1,1,0,74,1,,,,,
2020/05/17,Total,1,592,592,142,2,3,444,6,,,,,
2020/05/18,"Far North",0,219,219,110,0,0,108,1,,,,,
2020/05/18,North,0,106,106,11,0,0,94,1,,,,,
2020/05/18,"Central (excluding Saskatoon)",0,12,12,1,0,0,10,1,,,,,
2020/05/18,Saskatoon,0,164,164,8,1,3,154,2,,,,,
2020/05/18,"South (excluding Regina)",0,15,15,0,0,0,15,0,,,,,
2020/05/18,Regina,0,76,76,1,1,0,74,1,,,,,
2020/05/18,Total,0,592,592,131,2,3,455,6,,,,,
2020/05/19,"Far North",7,226,226,107,0,0,118,1,,,,,
2020/05/19,North,0,106,106,10,0,0,95,1,,,,,
2020/05/19,"Central (excluding Saskatoon)",0,12,12,1,0,0,10,1,,,,,
2020/05/19,Saskatoon,0,164,164,4,1,3,158,2,,,,,
2020/05/19,"South (excluding Regina)",0,15,15,0,0,0,15,0,,,,,
2020/05/19,Regina,0,76,76,1,1,0,74,1,,,,,
2020/05/19,Total,7,599,599,123,2,3,470,6,,,,,
2020/05/20,"Far North",16,242,242,102,0,0,139,1,,,,,
2020/05/20,North,4,110,110,11,0,0,98,2,,,,,
2020/05/20,"Central (excluding Saskatoon)",0,12,12,1,0,0,10,1,,,,,
2020/05/20,Saskatoon,1,165,165,5,1,3,158,2,,,,,
2020/05/20,"South (excluding Regina)",0,12,12,0,0,0,15,0,,,,,
2020/05/20,Regina,0,76,76,1,0,0,74,1,,,,,
2020/05/20,Total,21,620,620,120,1,3,494,7,,,,,
2020/05/21,"Far North",2,244,244,93,0,0,150,1,,,,,
2020/05/21,North,0,110,110,6,0,0,102,2,,,,,
2020/05/21,"Central (excluding Saskatoon)",0,12,12,1,0,0,10,1,,,,,
2020/05/21,Saskatoon,0,165,165,5,1,3,158,2,,,,,
2020/05/21,"South (excluding Regina)",0,15,15,0,0,0,15,0,,,,,
2020/05/21,Regina,0,76,76,1,1,0,74,1,,,,,
2020/05/21,Total,2,622,622,106,2,3,509,7,,,,,
2020/05/22,"Far North",4,248,248,85,0,0,162,1,,,,,
2020/05/22,North,0,110,110,6,0,0,102,2,,,,,
2020/05/22,"Central (excluding Saskatoon)",0,12,12,1,0,0,10,1,,,,,
2020/05/22,Saskatoon,0,165,165,5,1,3,158,2,,,,,
2020/05/22,"South (excluding Regina)",1,16,16,1,0,0,15,0,,,,,
2020/05/22,Regina,0,76,76,1,1,0,74,1,,,,,
2020/05/22,Total,5,627,627,99,2,3,521,7,,,,,
2020/05/23,"Far North",1,249,249,76,0,0,172,1,,,,,
2020/05/23,North,0,110,110,5,1,0,103,2,,,,,
2020/05/23,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/05/23,Saskatoon,2,167,167,6,1,3,159,2,,,,,
2020/05/23,"South (excluding Regina)",0,16,16,1,0,0,15,0,,,,,
2020/05/23,Regina,0,76,76,0,1,0,75,1,,,,,
2020/05/23,Total,3,630,630,88,3,3,535,7,,,,,
2020/05/24,"Far North",2,251,251,75,0,0,175,1,,,,,
2020/05/24,North,0,110,110,5,1,0,103,2,,,,,
2020/05/24,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/05/24,Saskatoon,0,167,167,6,0,3,159,2,,,,,
2020/05/24,"South (excluding Regina)",0,16,16,1,0,0,15,0,,,,,
2020/05/24,Regina,0,76,76,0,1,0,75,1,,,,,
2020/05/24,Total,2,632,632,87,2,3,538,7,93,226,193,104,18
2020/05/25,"Far North",1,252,252,68,0,0,183,1,,,,,
2020/05/25,North,1,111,111,6,1,0,103,2,,,,,
2020/05/25,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/05/25,Saskatoon,0,167,167,6,0,4,159,2,,,,,
2020/05/25,"South (excluding Regina)",0,16,16,1,0,0,15,0,,,,,
2020/05/25,Regina,0,76,76,0,1,0,75,1,,,,,
2020/05/25,Total,2,634,634,81,2,4,546,7,,,,,
2020/05/26,"Far North",0,252,252,65,0,0,185,2,,,,,
2020/05/26,North,0,111,111,5,1,0,104,2,,,,,
2020/05/26,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/05/26,Saskatoon,0,167,167,6,0,3,159,2,,,,,
2020/05/26,"South (excluding Regina)",0,16,16,1,0,0,15,0,,,,,
2020/05/26,Regina,0,76,76,0,1,0,75,1,,,,,
2020/05/26,Total,0,634,634,77,2,3,549,8,93,226,193,104,18
2020/05/27,"Far North",1,253,253,55,0,0,194,4,,,,,
2020/05/27,North,0,111,111,4,0,0,105,2,,,,,
2020/05/27,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/05/27,Saskatoon,0,167,167,6,0,3,159,2,,,,,
2020/05/27,"South (excluding Regina)",0,16,16,1,0,0,15,0,,,,,
2020/05/27,Regina,2,78,78,2,1,0,75,1,,,,,
2020/05/27,Total,3,637,637,68,1,3,559,10,93,227,195,104,18
2020/05/28,"Far North",0,253,253,46,0,0,203,4,,,,,
2020/05/28,North,1,112,112,5,0,0,105,2,,,,,
2020/05/28,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/05/28,Saskatoon,1,168,168,7,0,3,159,2,,,,,
2020/05/28,"South (excluding Regina)",0,16,16,1,0,0,15,0,,,,,
2020/05/28,Regina,0,78,78,2,1,0,75,1,,,,,
2020/05/28,Total,2,639,639,61,1,3,568,10,94,228,195,104,18
2020/05/29,"Far North",0,253,253,45,0,0,204,4,,,,,
2020/05/29,North,0,112,112,5,0,0,105,2,,,,,
2020/05/29,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/05/29,Saskatoon,1,169,169,7,1,2,160,2,,,,,
2020/05/29,"South (excluding Regina)",1,17,17,2,0,0,15,0,,,,,
2020/05/29,Regina,0,78,78,2,1,0,75,1,,,,,
2020/05/29,Total,2,641,641,61,2,2,570,10,94,229,195,105,18
2020/05/30,"Far North",3,256,256,38,0,0,214,4,,,,,
2020/05/30,North,0,112,112,5,0,0,105,2,,,,,
2020/05/30,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/05/30,Saskatoon,0,169,169,7,1,1,160,2,,,,,
2020/05/30,"South (excluding Regina)",0,17,17,2,0,0,15,0,,,,,
2020/05/30,Regina,1,79,79,3,1,0,75,1,,,,,
2020/05/30,Total,4,645,645,55,2,1,580,10,95,230,196,106,18
2020/05/31,"Far North",0,256,256,38,0,0,214,4,,,,,
2020/05/31,North,0,112,112,4,0,0,105,3,,,,,
2020/05/31,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/05/31,Saskatoon,0,169,169,6,2,1,161,2,,,,,
2020/05/31,"South (excluding Regina)",0,17,17,1,0,0,16,0,,,,,
2020/05/31,Regina,1,80,80,4,1,0,75,1,,,,,
2020/05/31,Total,1,646,646,53,3,1,582,11,95,230,197,106,18
2020/06/01,"Far North",0,256,256,32,0,0,220,4,,,,,
2020/06/01,North,0,112,112,4,0,0,105,3,,,,,
2020/06/01,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/06/01,Saskatoon,0,169,169,6,1,2,161,2,,,,,
2020/06/01,"South (excluding Regina)",0,17,17,1,0,0,16,0,,,,,
2020/06/01,Regina,1,80,80,4,1,0,75,1,,,,,
2020/06/01,Total,1,646,646,47,2,2,588,11,95,230,197,106,18
2020/06/02,"Far North",0,256,256,23,0,0,229,4,,,,,
2020/06/02,North,0,112,112,2,0,0,107,3,,,,,
2020/06/02,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/06/02,Saskatoon,0,169,169,3,0,2,164,2,,,,,
2020/06/02,"South (excluding Regina)",0,17,17,1,0,0,16,0,,,,,
2020/06/02,Regina,0,80,80,4,0,0,75,1,,,,,
2020/06/02,Total,0,646,646,33,0,2,602,11,95,230,197,106,18
2020/06/03,"Far North",1,257,257,24,0,0,229,4,,,,,
2020/06/03,North,0,112,112,2,0,0,107,3,,,,,
2020/06/03,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/06/03,Saskatoon,0,169,169,3,0,2,164,2,,,,,
2020/06/03,"South (excluding Regina)",0,17,17,1,0,0,16,0,,,,,
2020/06/03,Regina,0,80,80,4,0,0,75,1,,,,,
2020/06/03,Total,1,647,647,34,0,2,602,11,96,230,197,106,18
2020/06/04,"Far North",0,257,257,18,0,0,235,4,,,,,
2020/06/04,North,0,112,112,2,0,0,107,3,,,,,
2020/06/04,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/06/04,Saskatoon,1,170,170,4,0,2,164,2,,,,,
2020/06/04,"South (excluding Regina)",0,17,17,1,0,0,16,0,,,,,
2020/06/04,Regina,0,80,80,4,0,0,75,1,,,,,
2020/06/04,Total,1,648,648,29,0,2,608,11,96,230,198,106,18
2020/06/05,"Far North",1,258,258,17,0,0,237,4,,,,,
2020/06/05,North,0,112,112,2,0,0,107,3,,,,,
2020/06/05,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/06/05,Saskatoon,0,170,170,3,0,1,165,2,,,,,
2020/06/05,"South (excluding Regina)",0,17,17,1,0,0,16,0,,,,,
2020/06/05,Regina,0,80,80,4,0,0,75,1,,,,,
2020/06/05,Total,1,649,649,27,0,1,611,11,97,230,198,106,18
2020/06/06,"Far North",1,259,259,18,0,0,237,4,,,,,
2020/06/06,North,0,112,112,2,0,0,107,3,,,,,
2020/06/06,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/06/06,Saskatoon,0,170,170,3,0,1,165,2,,,,,
2020/06/06,"South (excluding Regina)",0,17,17,1,0,0,16,0,,,,,
2020/06/06,Regina,0,80,80,4,0,0,75,1,,,,,
2020/06/06,Total,1,650,650,28,0,1,611,11,97,230,199,106,18
2020/06/07,"Far North",0,259,259,8,0,0,247,4,,,,,
2020/06/07,North,0,112,112,1,0,0,108,3,,,,,
2020/06/07,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/06/07,Saskatoon,0,170,170,2,0,1,166,2,,,,,
2020/06/07,"South (excluding Regina)",0,17,17,1,0,0,16,0,,,,,
2020/06/07,Regina,0,80,80,4,0,0,75,1,,,,,
2020/06/07,Total,0,650,650,16,0,1,623,11,97,230,199,106,18
2020/06/08,"Far North",1,260,260,6,0,0,248,6,,,,,
2020/06/08,North,0,112,112,1,0,0,108,3,,,,,
2020/06/08,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/06/08,Saskatoon,3,173,173,5,0,1,166,2,,,,,
2020/06/08,"South (excluding Regina)",0,17,17,1,0,0,16,0,,,,,
2020/06/08,Regina,0,80,80,4,0,0,75,1,,,,,
2020/06/08,Total,4,654,654,17,0,1,624,13,98,232,199,107,18
2020/06/09,"Far North",1,261,261,7,0,0,248,6,,,,,
2020/06/09,North,0,112,112,1,0,0,108,3,,,,,
2020/06/09,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/06/09,Saskatoon,1,174,174,6,0,1,166,2,,,,,
2020/06/09,"South (excluding Regina)",0,17,17,1,0,0,16,0,,,,,
2020/06/09,Regina,0,80,80,4,0,0,75,1,,,,,
2020/06/09,Total,2,656,656,19,0,1,624,13,98,232,199,109,18
2020/06/10,"Far North",0,261,261,7,0,0,248,6,,,,,
2020/06/10,North,0,112,112,1,0,0,108,3,,,,,
2020/06/10,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/06/10,Saskatoon,1,175,175,7,0,1,166,2,,,,,
2020/06/10,"South (excluding Regina)",1,18,18,2,0,0,16,0,,,,,
2020/06/10,Regina,0,80,80,4,0,0,75,1,,,,,
2020/06/10,Total,2,658,658,21,0,1,624,13,98,233,199,110,18
2020/06/11,"Far North",1,262,262,8,0,0,248,6,,,,,
2020/06/11,North,0,112,112,1,0,0,108,3,,,,,
2020/06/11,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/06/11,Saskatoon,1,176,176,8,0,1,166,2,,,,,
2020/06/11,"South (excluding Regina)",0,18,18,1,0,0,17,0,,,,,
2020/06/11,Regina,0,80,80,3,0,0,76,1,,,,,
2020/06/11,Total,2,660,660,21,0,1,626,13,98,234,200,110,18
2020/06/12,"Far North",1,263,263,9,0,0,248,6,,,,,
2020/06/12,North,0,112,112,1,0,0,108,3,,,,,
2020/06/12,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/06/12,Saskatoon,1,177,177,9,0,1,166,2,,,,,
2020/06/12,"South (excluding Regina)",1,19,19,2,0,0,17,0,,,,,
2020/06/12,Regina,0,80,80,2,0,0,77,1,,,,,
2020/06/12,Total,3,663,663,23,0,1,627,13,98,236,200,111,18
2020/06/13,"Far North",1,264,264,10,0,0,248,6,,,,,
2020/06/13,North,0,112,112,1,1,0,108,3,,,,,
2020/06/13,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/06/13,Saskatoon,0,177,177,8,0,1,166,2,,,,,
2020/06/13,"South (excluding Regina)",0,19,19,2,0,0,17,0,,,,,
2020/06/13,Regina,0,80,80,2,0,0,77,1,,,,,
2020/06/13,Total,1,664,664,23,1,1,627,13,98,236,200,112,18
2020/06/14,"Far North",0,264,264,10,0,0,248,6,,,,,
2020/06/14,North,0,112,112,1,1,0,108,3,,,,,
2020/06/14,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/06/14,Saskatoon,1,178,178,9,0,1,167,2,,,,,
2020/06/14,"South (excluding Regina)",0,19,19,2,0,0,17,0,,,,,
2020/06/14,Regina,0,80,80,2,0,0,77,1,,,,,
2020/06/14,Total,1,665,665,24,1,1,628,13,98,237,200,112,18
2020/06/15,"Far North",13,277,277,22,0,0,249,6,,,,,
2020/06/15,North,0,112,112,1,1,0,108,3,,,,,
2020/06/15,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/06/15,Saskatoon,3,181,181,12,0,1,167,2,,,,,
2020/06/15,"South (excluding Regina)",0,19,19,2,0,0,17,0,,,,,
2020/06/15,Regina,0,80,80,2,0,0,77,1,,,,,
2020/06/15,Total,18,683,683,41,1,1,629,13,104,240,207,114,18
2020/06/16,"Far North",0,277,277,22,0,0,249,6,,,,,
2020/06/16,North,0,112,112,1,1,0,108,3,,,,,
2020/06/16,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/06/16,Saskatoon,1,182,182,13,1,1,167,2,,,,,
2020/06/16,"South (excluding Regina)",0,19,19,2,0,0,17,0,,,,,
2020/06/16,Regina,0,80,80,0,0,0,79,1,,,,,
2020/06/16,Total,1,684,684,40,2,1,631,13,104,241,207,114,18
2020/06/17,"Far North",7,284,284,29,0,0,249,6,,,,,
2020/06/17,North,0,112,112,1,0,0,108,3,,,,,
2020/06/17,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/06/17,Saskatoon,2,184,184,13,1,1,169,2,,,,,
2020/06/17,"South (excluding Regina)",0,19,19,2,0,0,17,0,,,,,
2020/06/17,Regina,0,80,80,0,0,0,79,1,,,,,
2020/06/17,Total,9,693,693,47,1,1,633,13,105,243,211,115,19
2020/06/18,"Far North",1,285,285,28,0,0,251,6,,,,,
2020/06/18,North,0,112,112,1,0,0,108,3,,,,,
2020/06/18,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/06/18,Saskatoon,0,184,184,13,1,1,169,2,,,,,
2020/06/18,"South (excluding Regina)",14,33,33,15,0,0,18,0,,,,,
2020/06/18,Regina,0,80,80,0,0,0,79,1,,,,,
2020/06/18,Total,15,708,708,59,1,1,636,13,105,246,217,119,21
2020/06/19,"Far North",7,292,292,35,0,0,251,6,,,,,
2020/06/19,North,0,112,112,1,0,0,108,3,,,,,
2020/06/19,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/06/19,Saskatoon,1,185,185,14,1,1,169,2,,,,,
2020/06/19,"South (excluding Regina)",0,33,33,15,2,0,18,0,,,,,
2020/06/19,Regina,0,80,80,0,0,0,79,1,,,,,
2020/06/19,Total,8,716,716,67,3,1,636,13,106,247,222,120,21
2020/06/20,"Far North",7,299,299,42,0,0,251,6,,,,,
2020/06/20,North,0,113,113,2,0,0,108,3,,,,,
2020/06/20,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/06/20,Saskatoon,1,185,185,11,0,1,172,2,,,,,
2020/06/20,"South (excluding Regina)",2,35,35,17,0,2,18,0,,,,,
2020/06/20,Regina,0,80,80,0,0,0,79,1,,,,,
2020/06/20,Total,11,726,726,72,0,3,639,13,108,251,224,122,21
2020/06/21,"Far North",2,301,301,44,0,0,251,6,,,,,
2020/06/21,North,0,113,113,2,0,0,108,3,,,,,
2020/06/21,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/06/21,Saskatoon,0,185,185,8,0,1,175,2,,,,,
2020/06/21,"South (excluding Regina)",18,53,53,34,0,2,19,0,,,,,
2020/06/21,Regina,0,80,80,0,0,0,79,1,,,,,
2020/06/21,Total,20,746,746,88,0,3,643,13,108,258,234,125,21
2020/06/22,"Far North",4,305,305,48,0,0,251,6,,,,,
2020/06/22,North,0,113,113,2,0,0,108,3,,,,,
2020/06/22,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/06/22,Saskatoon,1,186,186,9,1,0,175,2,,,,,
2020/06/22,"South (excluding Regina)",0,53,53,34,2,0,19,0,,,,,
2020/06/22,Regina,0,80,80,0,0,0,79,1,,,,,
2020/06/22,Total,5,751,751,95,3,0,643,13,109,259,237,125,21
2020/06/23,"Far North",10,312,312,53,0,0,253,6,,,,,
2020/06/23,North,0,111,111,1,0,0,107,3,,,,,
2020/06/23,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/06/23,Saskatoon,1,185,185,9,1,0,174,2,,,,,
2020/06/23,"South (excluding Regina)",0,53,53,35,2,1,18,0,,,,,
2020/06/23,Regina,0,80,80,0,0,0,79,1,,,,,
2020/06/23,Total,11,753,753,98,3,1,642,13,107,258,237,130,21
2020/06/24,"Far North",2,314,314,55,0,0,253,6,,,,,
2020/06/24,North,1,112,112,2,0,0,107,3,,,,,
2020/06/24,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/06/24,Saskatoon,0,185,185,9,2,0,174,2,,,,,
2020/06/24,"South (excluding Regina)",1,54,54,35,2,1,19,0,,,,,
2020/06/24,Regina,0,80,80,0,0,0,79,1,,,,,
2020/06/24,Total,4,757,757,101,4,1,643,13,107,260,239,130,21
2020/06/25,"Far North",2,316,316,54,0,0,256,6,,,,,
2020/06/25,North,0,112,112,2,2,1,107,3,,,,,
2020/06/25,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/06/25,Saskatoon,1,186,186,10,1,1,174,2,,,,,
2020/06/25,"South (excluding Regina)",0,53,53,32,4,0,21,0,,,,,
2020/06/25,Regina,0,80,80,0,0,0,79,1,,,,,
2020/06/25,Total,3,759,759,98,7,2,648,13,107,260,241,130,21
2020/06/26,"Far North",1,317,317,54,0,0,257,6,,,,,
2020/06/26,North,2,114,114,4,3,0,107,3,,,,,
2020/06/26,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/06/26,Saskatoon,0,186,186,9,1,1,175,2,,,,,
2020/06/26,"South (excluding Regina)",10,63,63,38,4,0,25,0,,,,,
2020/06/26,Regina,0,80,80,0,0,0,79,1,,,,,
2020/06/26,Total,13,772,772,105,8,1,654,13,110,265,246,130,21
2020/06/27,"Far North",6,322,322,56,0,0,260,6,,,,,
2020/06/27,North,0,114,114,4,3,0,107,3,,,,,
2020/06/27,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/06/27,Saskatoon,0,186,186,8,1,1,176,2,,,,,
2020/06/27,"South (excluding Regina)",0,63,63,35,1,0,28,0,,,,,
2020/06/27,Regina,0,80,80,0,0,0,79,1,,,,,
2020/06/27,Total,6,777,777,103,5,1,661,13,113,266,247,130,21
2020/06/28,"Far North",1,323,323,57,0,0,260,6,,,,,
2020/06/28,North,0,114,114,4,3,0,107,3,,,,,
2020/06/28,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/06/28,Saskatoon,0,186,186,8,2,0,176,2,,,,,
2020/06/28,"South (excluding Regina)",0,63,63,35,1,0,28,0,,,,,
2020/06/28,Regina,0,80,80,0,0,0,79,1,,,,,
2020/06/28,Total,1,778,778,104,6,0,661,13,113,267,247,130,21
2020/06/29,"Far North",1,324,324,47,0,0,271,6,,,,,
2020/06/29,North,0,114,114,4,3,0,107,3,,,,,
2020/06/29,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/06/29,Saskatoon,0,186,186,4,1,0,180,2,,,,,
2020/06/29,"South (excluding Regina)",0,63,63,32,1,0,31,0,,,,,
2020/06/29,Regina,0,80,80,0,0,0,79,1,,,,,
2020/06/29,Total,1,779,779,87,5,0,679,13,113,268,247,130,21
2020/06/30,"Far North",3,327,327,47,0,0,274,6,,,,,
2020/06/30,North,2,116,116,6,2,1,107,3,,,,,
2020/06/30,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/06/30,Saskatoon,0,186,186,4,1,0,180,2,,,,,
2020/06/30,"South (excluding Regina)",1,64,64,31,1,0,33,0,,,,,
2020/06/30,Regina,0,80,80,0,0,0,79,1,,,,,
2020/06/30,Total,6,785,785,88,4,1,684,13,114,271,249,130,21
2020/07/01,"Far North",3,330,330,47,0,0,277,6,,,,,
2020/07/01,North,1,117,117,7,1,2,107,3,,,,,
2020/07/01,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/07/01,Saskatoon,0,186,186,4,2,0,180,2,,,,,
2020/07/01,"South (excluding Regina)",0,64,64,28,0,0,36,0,,,,,
2020/07/01,Regina,0,80,80,0,0,0,79,1,,,,,
2020/07/01,Total,4,789,789,86,3,2,690,13,115,273,249,131,21
2020/07/02,"Far North",4,334,334,46,0,0,281,7,,,,,
2020/07/02,North,1,118,118,8,1,2,107,3,,,,,
2020/07/02,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/07/02,Saskatoon,1,187,187,5,2,1,180,2,,,,,
2020/07/02,"South (excluding Regina)",0,64,64,21,0,0,43,0,,,,,
2020/07/02,Regina,0,80,80,0,0,0,79,1,,,,,
2020/07/02,Total,6,795,795,80,3,3,701,14,116,278,249,131,21
2020/07/03,"Far North",1,335,335,40,0,0,288,7,,,,,
2020/07/03,North,0,118,118,8,0,2,107,3,,,,,
2020/07/03,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/07/03,Saskatoon,0,187,187,5,1,1,180,2,,,,,
2020/07/03,"South (excluding Regina)",0,64,64,18,0,0,46,0,,,,,
2020/07/03,Regina,0,80,80,0,0,0,79,1,,,,,
2020/07/03,Total,1,796,796,71,1,3,711,14,116,278,249,132,21
2020/07/04,"Far North",1,336,336,36,0,0,293,7,,,,,
2020/07/04,North,0,118,118,8,1,1,107,3,,,,,
2020/07/04,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/07/04,Saskatoon,0,187,187,2,1,1,183,2,,,,,
2020/07/04,"South (excluding Regina)",1,65,65,11,0,0,54,0,,,,,
2020/07/04,Regina,0,80,80,0,0,0,79,1,,,,,
2020/07/04,Total,2,798,798,57,2,2,727,14,116,280,249,132,21
2020/07/05,"Far North",2,338,338,36,0,0,295,7,,,,,
2020/07/05,North,0,118,118,8,1,1,107,3,,,,,
2020/07/05,"Central (excluding Saskatoon)",0,12,12,0,0,0,11,1,,,,,
2020/07/05,Saskatoon,2,189,189,4,1,1,183,2,,,,,
2020/07/05,"South (excluding Regina)",0,65,65,11,0,0,54,0,,,,,
2020/07/05,Regina,0,80,80,0,0,0,79,1,,,,,
2020/07/05,Total,4,802,802,59,2,2,729,14,116,282,251,132,21
2020/07/06,"Far North",0,338,338,35,0,0,296,7,,,,,
2020/07/06,North,1,119,119,8,2,0,108,3,,,,,
2020/07/06,"Central (excluding Saskatoon)",1,13,13,1,0,0,11,1,,,,,
2020/07/06,Saskatoon,0,189,189,4,1,1,183,2,,,,,
2020/07/06,"South (excluding Regina)",1,66,66,11,0,0,55,0,,,,,
2020/07/06,Regina,0,80,80,0,0,0,79,1,,,,,
2020/07/06,Total,3,805,805,59,3,1,732,14,116,282,253,133,21
2020/07/07,"Far North",0,338,338,33,0,0,298,7,,,,,
2020/07/07,North,0,119,119,7,3,0,108,4,,,,,
2020/07/07,"Central (excluding Saskatoon)",0,13,13,1,0,0,11,1,,,,,
2020/07/07,Saskatoon,1,190,190,4,1,0,184,2,,,,,
2020/07/07,"South (excluding Regina)",0,66,66,9,0,0,57,0,,,,,
2020/07/07,Regina,0,80,80,0,0,0,79,1,,,,,
2020/07/07,Total,1,806,806,54,4,0,737,15,116,283,253,133,21
2020/07/08,"Far North",0,338,338,28,0,0,303,7,,,,,
2020/07/08,North,1,120,120,8,2,0,108,4,,,,,
2020/07/08,"Central (excluding Saskatoon)",0,13,13,1,0,0,11,1,,,,,
2020/07/08,Saskatoon,1,191,191,5,1,0,184,2,,,,,
2020/07/08,"South (excluding Regina)",0,66,66,5,0,0,61,0,,,,,
2020/07/08,Regina,0,80,80,0,0,0,79,1,,,,,
2020/07/08,Total,2,808,808,47,3,0,746,15,117,284,253,133,21
2020/07/09,"Far North",1,339,339,25,0,0,307,7,,,,,
2020/07/09,North,0,120,120,8,2,0,108,4,,,,,
2020/07/09,"Central (excluding Saskatoon)",1,14,14,2,0,0,11,1,,,,,
2020/07/09,Saskatoon,1,192,192,6,2,1,184,2,,,,,
2020/07/09,"South (excluding Regina)",2,68,68,7,0,0,61,0,,,,,
2020/07/09,Regina,0,80,80,0,0,0,79,1,,,,,
2020/07/09,Total,5,813,813,48,4,1,750,15,118,284,254,136,21
2020/07/10,"Far North",0,339,339,21,0,0,311,7,,,,,
