"Reported_Date","Region","Institution","Total_Active_Inmate_Cases_As_Of_Reported_Date","Cumul_Nr_Resolved_Inmate_Cases_As_Of_Reported_Date","Cumul_Nr_Positive_Released_Inmate_Cases_As_Of_Reported_Date"
"2020-05-11","Northern","Monteith Correctional Centre",,1,
"2020-05-11","Toronto","Toronto South Detention Centre",5,2,
"2020-05-12","Central","Hamilton Wentworth Det Centre",1,,
"2020-05-12","Central","Maplehurst Correctional Complex",,1,1
"2020-05-12","Central","Ontario Correctional Institute",71,15,2
"2020-05-12","Central","Milton-Vanier Centre For Women",,,2
"2020-05-12","Eastern","Central East Correctional Centre",,,1
"2020-05-12","Northern","Monteith Correctional Centre",,1,
"2020-05-12","Toronto","Toronto South Detention Centre",5,2,
"2020-05-13","Central","Hamilton Wentworth Det Centre",1,,
"2020-05-13","Central","Maplehurst Correctional Complex",,,1
"2020-05-13","Central","Ontario Correctional Institute",75,13,2
"2020-05-13","Central","Milton-Vanier Centre For Women",,,2
"2020-05-13","Eastern","Central East Correctional Centre",,,1
"2020-05-13","Northern","Monteith Correctional Centre",,1,
"2020-05-13","Toronto","Toronto South Detention Centre",6,1,1
"2020-05-14","Central","Hamilton Wentworth Det Centre",,1,
"2020-05-14","Central","Maplehurst Correctional Complex",1,,1
"2020-05-14","Central","Ontario Correctional Institute",75,13,2
"2020-05-14","Central","Milton-Vanier Centre For Women",,,2
"2020-05-14","Eastern","Central East Correctional Centre",,,1
"2020-05-14","Northern","Monteith Correctional Centre",,1,
"2020-05-14","Toronto","Toronto South Detention Centre",6,1,1
"2020-05-15","Central","Hamilton Wentworth Det Centre",,1,
"2020-05-15","Central","Maplehurst Correctional Complex",1,,1
"2020-05-15","Central","Ontario Correctional Institute",76,13,2
"2020-05-15","Central","Milton-Vanier Centre For Women",,,2
"2020-05-15","Eastern","Central East Correctional Centre",,,1
"2020-05-15","Northern","Monteith Correctional Centre",,1,
"2020-05-15","Toronto","Toronto South Detention Centre",6,1,1
"2020-05-19","Central","Hamilton Wentworth Det Centre",,1,
"2020-05-19","Central","Maplehurst Correctional Complex",3,,1
"2020-05-19","Central","Ontario Correctional Institute",76,13,2
"2020-05-19","Central","Milton-Vanier Centre For Women",,,2
"2020-05-19","Eastern","Central East Correctional Centre",1,,1
"2020-05-19","Northern","Monteith Correctional Centre",,1,
"2020-05-19","Toronto","Toronto South Detention Centre",6,1,1
"2020-05-20","Central","Hamilton Wentworth Det Centre",,1,
"2020-05-20","Central","Maplehurst Correctional Complex",3,,1
"2020-05-20","Central","Ontario Correctional Institute",2,87,2
"2020-05-20","Central","Milton-Vanier Centre For Women",1,,2
"2020-05-20","Eastern","Central East Correctional Centre",1,,1
"2020-05-20","Northern","Monteith Correctional Centre",,1,
"2020-05-20","Toronto","Toronto South Detention Centre",6,1,2
"2020-05-21","Central","Hamilton Wentworth Det Centre",,1,
"2020-05-21","Central","Maplehurst Correctional Complex",5,,1
"2020-05-21","Central","Ontario Correctional Institute",2,87,2
"2020-05-21","Central","Milton-Vanier Centre For Women",1,,2
"2020-05-21","Eastern","Central East Correctional Centre",1,,1
"2020-05-21","Northern","Monteith Correctional Centre",,1,
"2020-05-21","Toronto","Toronto South Detention Centre",7,1,1
"2020-05-21","Central","Niagara Detention Centre",,,1
"2020-05-22","Central","Hamilton Wentworth Det Centre",,1,
"2020-05-22","Central","Maplehurst Correctional Complex",5,,1
"2020-05-22","Central","Ontario Correctional Institute",2,87,2
"2020-05-22","Central","Milton-Vanier Centre For Women",1,,2
"2020-05-22","Eastern","Central East Correctional Centre",1,,1
"2020-05-22","Northern","Monteith Correctional Centre",,1,
"2020-05-22","Toronto","Toronto South Detention Centre",3,5,2
"2020-05-22","Central","Niagara Detention Centre",,,1
"2020-05-25","Central","Hamilton Wentworth Det Centre",,1,
"2020-05-25","Central","Maplehurst Correctional Complex",5,,1
"2020-05-25","Central","Ontario Correctional Institute",1,88,2
"2020-05-25","Central","Milton-Vanier Centre For Women",1,,2
"2020-05-25","Eastern","Central East Correctional Centre",1,,1
"2020-05-25","Northern","Monteith Correctional Centre",,1,
"2020-05-25","Toronto","Toronto South Detention Centre",3,5,2
"2020-05-25","Central","Niagara Detention Centre",,,1
"2020-05-26","Central","Hamilton Wentworth Det Centre",,1,
"2020-05-26","Central","Maplehurst Correctional Complex",4,,2
"2020-05-26","Central","Ontario Correctional Institute",1,88,2
"2020-05-26","Central","Milton-Vanier Centre For Women",1,,2
"2020-05-26","Eastern","Central East Correctional Centre",1,,1
"2020-05-26","Northern","Monteith Correctional Centre",,1,
"2020-05-26","Toronto","Toronto South Detention Centre",2,6,2
"2020-05-26","Central","Niagara Detention Centre",,,1
"2020-05-27","Central","Hamilton Wentworth Det Centre",,1,
"2020-05-27","Central","Maplehurst Correctional Complex",4,,2
"2020-05-27","Central","Ontario Correctional Institute",1,88,2
"2020-05-27","Central","Milton-Vanier Centre For Women",1,,2
"2020-05-27","Eastern","Central East Correctional Centre",1,,1
"2020-05-27","Northern","Monteith Correctional Centre",,1,
"2020-05-27","Toronto","Toronto South Detention Centre",2,6,2
"2020-05-27","Central","Niagara Detention Centre",,,1
"2020-05-28","Northern","Monteith Correctional Centre",,1,
"2020-05-28","Central","Maplehurst Correctional Complex",4,,2
"2020-05-28","Central","Ontario Correctional Institute",1,88,2
"2020-05-28","Toronto","Toronto South Detention Centre",2,6,2
"2020-05-28","Central","Milton-Vanier Centre For Women",1,,2
"2020-05-28","Central","Hamilton Wentworth Det Centre",,1,
"2020-05-28","Eastern","Central East Correctional Centre",1,,1
"2020-05-28","Central","Niagara Detention Centre",,,1
"2020-05-29","Northern","Monteith Correctional Centre",,1,
"2020-05-29","Central","Maplehurst Correctional Complex",3,1,2
"2020-05-29","Central","Ontario Correctional Institute",1,88,2
"2020-05-29","Toronto","Toronto South Detention Centre",2,6,2
"2020-05-29","Central","Milton-Vanier Centre For Women",1,1,2
"2020-05-29","Central","Hamilton Wentworth Det Centre",,1,
"2020-05-29","Eastern","Central East Correctional Centre",1,,1
"2020-05-29","Central","Niagara Detention Centre",,,1
"2020-05-29","Western","Central North Correctional Centre",1,,
"2020-06-01","Northern","Monteith Correctional Centre",,1,
"2020-06-01","Central","Maplehurst Correctional Complex",3,1,2
"2020-06-01","Central","Ontario Correctional Institute",1,88,2
"2020-06-01","Toronto","Toronto South Detention Centre",3,6,2
"2020-06-01","Central","Milton-Vanier Centre For Women",1,1,2
"2020-06-01","Central","Hamilton Wentworth Det Centre",,1,
"2020-06-01","Eastern","Central East Correctional Centre",1,,1
"2020-06-01","Central","Niagara Detention Centre",,,1
"2020-06-01","Western","Central North Correctional Centre",1,,
"2020-06-02","Northern","Monteith Correctional Centre",,1,
"2020-06-02","Central","Maplehurst Correctional Complex",1,3,2
"2020-06-02","Central","Ontario Correctional Institute",1,88,2
"2020-06-02","Toronto","Toronto South Detention Centre",3,6,2
"2020-06-02","Central","Milton-Vanier Centre For Women",1,1,2
"2020-06-02","Central","Hamilton Wentworth Det Centre",,1,
"2020-06-02","Eastern","Central East Correctional Centre",1,,1
"2020-06-02","Central","Niagara Detention Centre",,,1
"2020-06-02","Western","Central North Correctional Centre",1,,
"2020-06-03","Northern","Monteith Correctional Centre",,1,
"2020-06-03","Central","Maplehurst Correctional Complex",1,3,2
"2020-06-03","Central","Ontario Correctional Institute",,89,2
"2020-06-03","Toronto","Toronto South Detention Centre",2,6,3
"2020-06-03","Central","Milton-Vanier Centre For Women",,1,3
"2020-06-03","Central","Hamilton Wentworth Det Centre",,1,
"2020-06-03","Eastern","Central East Correctional Centre",1,,1
"2020-06-03","Central","Niagara Detention Centre",,,1
"2020-06-03","Western","Central North Correctional Centre",1,,
"2020-06-04","Northern","Monteith Correctional Centre",,1,
