"Reported_Date","Region","Institution","Total_Active_Inmate_Cases_As_Of_Reported_Date","Cumul_Nr_Resolved_Inmate_Cases_As_Of_Reported_Date","Cumul_Nr_Positive_Released_Inmate_Cases_As_Of_Reported_Date"
"2020-06-09","Eastern","Central East Correctional Centre",,1,1
"2020-06-09","Central","Niagara Detention Centre",,,1
"2020-06-09","Western","Central North Correctional Centre",1,,
"2020-06-09","Northern","Kenora Jail",2,,
"2020-06-10","Northern","Monteith Correctional Centre",,1,
"2020-06-10","Central","Maplehurst Correctional Complex",2,4,2
"2020-06-10","Central","Ontario Correctional Institute",,89,2
"2020-06-10","Toronto","Toronto South Detention Centre",2,7,3
"2020-06-10","Central","Milton-Vanier Centre For Women",,1,3
"2020-06-10","Central","Hamilton Wentworth Det Centre",,1,
"2020-06-10","Eastern","Central East Correctional Centre",,1,1
"2020-06-10","Central","Niagara Detention Centre",,,1
"2020-06-10","Western","Central North Correctional Centre",1,,
"2020-06-10","Northern","Kenora Jail",2,,
"2020-06-11","Northern","Monteith Correctional Centre",,1,
"2020-06-11","Central","Maplehurst Correctional Complex",2,4,2
"2020-06-11","Central","Ontario Correctional Institute",,89,2
"2020-06-11","Toronto","Toronto South Detention Centre",2,7,3
"2020-06-11","Central","Milton-Vanier Centre For Women",,1,3
"2020-06-11","Central","Hamilton Wentworth Det Centre",,1,
"2020-06-11","Eastern","Central East Correctional Centre",,1,1
"2020-06-11","Central","Niagara Detention Centre",,,1
"2020-06-11","Western","Central North Correctional Centre",1,,
"2020-06-11","Northern","Kenora Jail",2,,
"2020-06-11","Western","Elgin-Middlesex Det. Centre",1,,
"2020-06-12","Northern","Monteith Correctional Centre",,1,
"2020-06-12","Central","Maplehurst Correctional Complex",2,4,2
"2020-06-12","Central","Ontario Correctional Institute",,89,2
"2020-06-12","Toronto","Toronto South Detention Centre",1,8,3
"2020-06-12","Central","Milton-Vanier Centre For Women",,1,3
"2020-06-12","Central","Hamilton Wentworth Det Centre",,1,
"2020-06-12","Eastern","Central East Correctional Centre",,1,1
"2020-06-12","Central","Niagara Detention Centre",,,1
"2020-06-12","Western","Central North Correctional Centre",,1,
"2020-06-12","Northern","Kenora Jail",2,,
"2020-06-12","Western","Elgin-Middlesex Det. Centre",1,,
"2020-06-15","Northern","Monteith Correctional Centre",,1,
"2020-06-15","Central","Maplehurst Correctional Complex",2,4,2
"2020-06-15","Central","Ontario Correctional Institute",,89,2
"2020-06-15","Toronto","Toronto South Detention Centre",2,8,3
"2020-06-15","Central","Milton-Vanier Centre For Women",,1,3
"2020-06-15","Central","Hamilton Wentworth Det Centre",,1,
"2020-06-15","Eastern","Central East Correctional Centre",,1,1
"2020-06-15","Central","Niagara Detention Centre",,,1
"2020-06-15","Western","Central North Correctional Centre",,1,
"2020-06-15","Northern","Kenora Jail",2,,
"2020-06-15","Western","Elgin-Middlesex Det. Centre",1,,
"2020-06-16","Northern","Monteith Correctional Centre",,1,
"2020-06-16","Central","Maplehurst Correctional Complex",1,4,3
"2020-06-16","Central","Ontario Correctional Institute",,89,2
"2020-06-16","Toronto","Toronto South Detention Centre",,8,5
"2020-06-16","Central","Milton-Vanier Centre For Women",,1,3
"2020-06-16","Central","Hamilton Wentworth Det Centre",,1,
"2020-06-16","Eastern","Central East Correctional Centre",,1,1
"2020-06-16","Central","Niagara Detention Centre",,,1
"2020-06-16","Western","Central North Correctional Centre",,1,
"2020-06-16","Northern","Kenora Jail",2,,
"2020-06-16","Western","Elgin-Middlesex Det. Centre",1,,
"2020-06-17","Northern","Monteith Correctional Centre",,1,
"2020-06-17","Central","Maplehurst Correctional Complex",1,4,3
"2020-06-17","Central","Ontario Correctional Institute",,89,2
"2020-06-17","Toronto","Toronto South Detention Centre",,8,5
"2020-06-17","Central","Milton-Vanier Centre For Women",,1,3
"2020-06-17","Central","Hamilton Wentworth Det Centre",,1,
"2020-06-17","Eastern","Central East Correctional Centre",,1,1
"2020-06-17","Central","Niagara Detention Centre",,,1
"2020-06-17","Western","Central North Correctional Centre",,1,
"2020-06-17","Northern","Kenora Jail",,2,
"2020-06-17","Western","Elgin-Middlesex Det. Centre",1,,
"2020-06-18","Northern","Monteith Correctional Centre",,1,
"2020-06-18","Central","Maplehurst Correctional Complex",1,4,3
"2020-06-18","Central","Ontario Correctional Institute",,89,2
"2020-06-18","Toronto","Toronto South Detention Centre",,8,5
"2020-06-18","Central","Milton-Vanier Centre For Women",,1,3
"2020-06-18","Central","Hamilton Wentworth Det Centre",,1,
"2020-06-18","Eastern","Central East Correctional Centre",,1,1
"2020-06-18","Central","Niagara Detention Centre",,,1
"2020-06-18","Western","Central North Correctional Centre",,1,
"2020-06-18","Northern","Kenora Jail",,2,
"2020-06-18","Western","Elgin-Middlesex Det. Centre",1,,
"2020-06-21","Northern","Monteith Correctional Centre",,1,
"2020-06-21","Central","Maplehurst Correctional Complex",1,4,3
"2020-06-21","Central","Ontario Correctional Institute",,89,2
"2020-06-21","Toronto","Toronto South Detention Centre",,8,5
"2020-06-21","Central","Milton-Vanier Centre For Women",,1,3
"2020-06-21","Central","Hamilton Wentworth Det Centre",,1,
"2020-06-21","Eastern","Central East Correctional Centre",,1,1
"2020-06-21","Central","Niagara Detention Centre",,,1
"2020-06-21","Western","Central North Correctional Centre",,1,
"2020-06-21","Northern","Kenora Jail",,2,
"2020-06-21","Western","Elgin-Middlesex Det. Centre",1,,
"2020-06-22","Northern","Monteith Correctional Centre",,1,
"2020-06-22","Central","Maplehurst Correctional Complex",,5,3
"2020-06-22","Central","Ontario Correctional Institute",,89,2
"2020-06-22","Toronto","Toronto South Detention Centre",1,8,5
"2020-06-22","Central","Milton-Vanier Centre For Women",,1,3
"2020-06-22","Central","Hamilton Wentworth Det Centre",,1,
"2020-06-22","Eastern","Central East Correctional Centre",,1,1
"2020-06-22","Central","Niagara Detention Centre",,,1
"2020-06-22","Western","Central North Correctional Centre",,1,
"2020-06-22","Northern","Kenora Jail",,2,
"2020-06-22","Western","Elgin-Middlesex Det. Centre",1,,
"2020-06-23","Northern","Monteith Correctional Centre",,1,
"2020-06-23","Central","Maplehurst Correctional Complex",,5,3
"2020-06-23","Central","Ontario Correctional Institute",,89,2
"2020-06-23","Toronto","Toronto South Detention Centre",1,8,5
"2020-06-23","Central","Milton-Vanier Centre For Women",,1,3
"2020-06-23","Central","Hamilton Wentworth Det Centre",,1,
"2020-06-23","Eastern","Central East Correctional Centre",,1,1
"2020-06-23","Central","Niagara Detention Centre",,,1
"2020-06-23","Western","Central North Correctional Centre",,1,
"2020-06-23","Northern","Kenora Jail",,2,
"2020-06-23","Western","Elgin-Middlesex Det. Centre",,1,
"2020-06-24","Northern","Monteith Correctional Centre",,1,
"2020-06-24","Central","Maplehurst Correctional Complex",,5,3
"2020-06-24","Central","Ontario Correctional Institute",,89,2
"2020-06-24","Toronto","Toronto South Detention Centre",1,8,5
"2020-06-24","Central","Milton-Vanier Centre For Women",,1,3
"2020-06-24","Central","Hamilton Wentworth Det Centre",,1,
"2020-06-24","Eastern","Central East Correctional Centre",,1,1
"2020-06-24","Central","Niagara Detention Centre",,,1
"2020-06-24","Western","Central North Correctional Centre",,1,
"2020-06-24","Northern","Kenora Jail",,2,
"2020-06-24","Western","Elgin-Middlesex Det. Centre",,1,
"2020-06-25","Northern","Monteith Correctional Centre",,1,
"2020-06-25","Central","Maplehurst Correctional Complex",,5,3
"2020-06-25","Central","Ontario Correctional Institute",,89,2
"2020-06-25","Toronto","Toronto South Detention Centre",1,8,5
"2020-06-25","Central","Milton-Vanier Centre For Women",,1,3
"2020-06-25","Central","Hamilton Wentworth Det Centre",,1,
"2020-06-25","Eastern","Central East Correctional Centre",,1,1
"2020-06-25","Central","Niagara Detention Centre",,,1
"2020-06-25","Western","Central North Correctional Centre",,1,
"2020-06-25","Northern","Kenora Jail",,2,
"2020-06-25","Western","Elgin-Middlesex Det. Centre",,1,
"2020-06-28","Northern","Monteith Correctional Centre",,1,
"2020-06-28","Central","Maplehurst Correctional Complex",,5,3
"2020-06-28","Central","Ontario Correctional Institute",,89,2
"2020-06-28","Toronto","Toronto South Detention Centre",2,8,5
"2020-06-28","Central","Milton-Vanier Centre For Women",,1,3
"2020-06-28","Central","Hamilton Wentworth Det Centre",,1,
"2020-06-28","Eastern","Central East Correctional Centre",,1,1
"2020-06-28","Central","Niagara Detention Centre",,,1
