Reported_Date,Region,Institution,Total_Active_Inmate_Cases_As_Of_Reported_Date,Cumul_Nr_Resolved_Inmate_Cases_As_Of_Reported_Date,Cumul_Nr_Positive_Released_Inmate_Cases_As_Of_Reported_Date
6/21/2020,Central,Niagara Detention Centre,,,1
6/21/2020,Western,Central North Correctional Centre,,1,
6/21/2020,Northern,Kenora Jail,,2,
6/21/2020,Western,Elgin-Middlesex Det. Centre,1,,
6/22/2020,Northern,Monteith Correctional Centre,,1,
6/22/2020,Central,Maplehurst Correctional Complex,,5,3
6/22/2020,Central,Ontario Correctional Institute,,89,2
6/22/2020,Toronto,Toronto South Detention Centre,1,8,5
6/22/2020,Central,Milton-Vanier Centre For Women,,1,3
6/22/2020,Central,Hamilton Wentworth Det Centre,,1,
6/22/2020,Eastern,Central East Correctional Centre,,1,1
6/22/2020,Central,Niagara Detention Centre,,,1
6/22/2020,Western,Central North Correctional Centre,,1,
6/22/2020,Northern,Kenora Jail,,2,
6/22/2020,Western,Elgin-Middlesex Det. Centre,1,,
6/23/2020,Northern,Monteith Correctional Centre,,1,
6/23/2020,Central,Maplehurst Correctional Complex,,5,3
6/23/2020,Central,Ontario Correctional Institute,,89,2
6/23/2020,Toronto,Toronto South Detention Centre,1,8,5
6/23/2020,Central,Milton-Vanier Centre For Women,,1,3
6/23/2020,Central,Hamilton Wentworth Det Centre,,1,
6/23/2020,Eastern,Central East Correctional Centre,,1,1
6/23/2020,Central,Niagara Detention Centre,,,1
6/23/2020,Western,Central North Correctional Centre,,1,
6/23/2020,Northern,Kenora Jail,,2,
6/23/2020,Western,Elgin-Middlesex Det. Centre,,1,
6/24/2020,Northern,Monteith Correctional Centre,,1,
6/24/2020,Central,Maplehurst Correctional Complex,,5,3
6/24/2020,Central,Ontario Correctional Institute,,89,2
6/24/2020,Toronto,Toronto South Detention Centre,1,8,5
6/24/2020,Central,Milton-Vanier Centre For Women,,1,3
6/24/2020,Central,Hamilton Wentworth Det Centre,,1,
6/24/2020,Eastern,Central East Correctional Centre,,1,1
6/24/2020,Central,Niagara Detention Centre,,,1
6/24/2020,Western,Central North Correctional Centre,,1,
6/24/2020,Northern,Kenora Jail,,2,
6/24/2020,Western,Elgin-Middlesex Det. Centre,,1,
6/25/2020,Northern,Monteith Correctional Centre,,1,
6/25/2020,Central,Maplehurst Correctional Complex,,5,3
6/25/2020,Central,Ontario Correctional Institute,,89,2
6/25/2020,Toronto,Toronto South Detention Centre,1,8,5
6/25/2020,Central,Milton-Vanier Centre For Women,,1,3
