Timestamp,Site,Cyclists-Northbound,Cyclists-Southbound,Cyclists-Eastbound,Cyclists-Westbound,Cyclists-Total,Pedestrians-Northbound,Pedestrians-Southbound,Pedestrians-Eastbound,Pedestrians-Westbound,Pedestrians-Total,All-Northbound,All-Southbound,All-Eastbound,All-Westbound,All-Total,Location
04/29/2020 06:30:00 PM,C - Wellington & W of Maryland Bridge,,,33,26,59,,,20,16,36,,,53,42,95,POINT (-97.164136 49.877286000000005)
05/15/2020 03:00:00 AM,B - Assiniboine & E of Rouge,,,0,0,0,,,0,0,0,,,0,0,0,POINT (-97.3003 49.8657)
05/12/2020 09:30:00 AM,B - Churchill & E of Eccles S,,,0,1,1,,,2,2,4,,,2,3,5,POINT (-97.116 49.8636)
05/14/2020 08:45:00 PM,C - Egerton & N of Bank,0,0,,,0,5,4,,,9,5,4,,,9,POINT (-97.0984 49.8622)
05/05/2020 07:15:00 PM,A - Scotia & S of Armstrong,6,6,,,12,1,3,,,4,7,9,,,16,POINT (-97.1042 49.9405)
04/29/2020 06:45:00 PM,B - Wellington & W of Oak,,,53,46,99,,,49,40,89,,,102,86,188,POINT (-97.18031 49.876514)
05/15/2020 01:30:00 AM,B - Assiniboine & E of Rouge,,,0,0,0,,,0,0,0,,,0,0,0,POINT (-97.3003 49.8657)
05/15/2020 05:45:00 AM,B - Egerton & N of Clonard,0,0,,,0,1,0,,,1,1,0,,,1,POINT (-97.1 49.8666)
04/29/2020 10:00:00 PM,B - Wellington & W of Oak,,,4,3,7,,,9,0,9,,,13,3,16,POINT (-97.18031 49.876514)
05/05/2020 09:00:00 PM,B - Scotia & N of Seven Oaks,2,1,,,3,4,4,,,8,6,5,,,11,POINT (-97.1135 49.9313)
05/05/2020 11:15:00 PM,B - Scotia & N of Seven Oaks,0,0,,,0,0,0,,,0,0,0,,,0,POINT (-97.1135 49.9313)
05/12/2020 07:15:00 PM,B - Churchill & E of Eccles S,,,2,10,12,,,20,9,29,,,22,19,41,POINT (-97.116 49.8636)
05/12/2020 06:45:00 PM,C - Churchill & E of Hay,,,5,3,8,,,9,6,15,,,14,9,23,POINT (-97.1274 49.8692)
05/14/2020 07:45:00 PM,B - Egerton & N of Clonard,1,3,,,4,4,8,,,12,5,11,,,16,POINT (-97.1 49.8666)
05/05/2020 10:45:00 AM,B - Wolseley & E of Garfield,,,4,7,11,,,11,5,16,,,15,12,27,POINT (-97.177 49.8796)
05/06/2020 06:30:00 PM,A - Kildonan & N of Irving,8,6,,,14,4,12,,,16,12,18,,,30,POINT (-97.0941 49.9444)
05/12/2020 06:00:00 AM,B - Kilkenny & N of Prestwood,0,0,,,0,1,0,,,1,1,0,,,1,POINT (-97.1367 49.7926)
04/30/2020 12:00:00 AM,B - Wellington & W of Oak,,,0,0,0,,,0,0,0,,,0,0,0,POINT (-97.18031 49.876514)
05/05/2020 03:00:00 PM,B - Wolseley & E of Garfield,,,11,20,31,,,19,17,36,,,30,37,67,POINT (-97.177 49.8796)
05/06/2020 12:15:00 AM,B - Scotia & N of Seven Oaks,1,0,,,1,1,1,,,2,2,1,,,3,POINT (-97.1135 49.9313)
05/12/2020 06:45:00 PM,B - Kilkenny & N of Prestwood,21,17,,,38,14,7,,,21,35,24,,,59,POINT (-97.1367 49.7926)
05/06/2020 07:00:00 PM,A - Kildonan & N of Irving,5,3,,,8,10,11,,,21,15,14,,,29,POINT (-97.0941 49.9444)
04/29/2020 05:15:00 PM,B - Wellington & W of Oak,,,53,62,115,,,46,55,101,,,99,117,216,POINT (-97.18031 49.876514)
05/05/2020 06:30:00 PM,C - St. Cross & N of Anderson,8,8,,,16,8,2,,,10,16,10,,,26,POINT (-97.123 49.9202)
04/29/2020 06:30:00 PM,B - Wellington & W of Oak,,,55,44,99,,,45,51,96,,,100,95,195,POINT (-97.18031 49.876514)
05/15/2020 02:45:00 AM,B - Egerton & N of Clonard,0,0,,,0,0,0,,,0,0,0,,,0,POINT (-97.1 49.8666)
05/05/2020 06:15:00 PM,A - Scotia & S of Armstrong,4,11,,,15,0,4,,,4,4,15,,,19,POINT (-97.1042 49.9405)
05/06/2020 10:30:00 PM,C - Kildonan & N of Helmsdale,0,0,,,0,2,1,,,3,2,1,,,3,POINT (-97.1088 49.930400000000006)
05/12/2020 08:30:00 AM,B - Kilkenny & N of Prestwood,0,1,,,1,0,4,,,4,0,5,,,5,POINT (-97.1367 49.7926)
05/12/2020 12:15:00 PM,B - Kilkenny & N of Prestwood,2,1,,,3,1,4,,,5,3,5,,,8,POINT (-97.1367 49.7926)
05/05/2020 06:45:00 PM,A - Scotia & S of Armstrong,13,6,,,19,0,4,,,4,13,10,,,23,POINT (-97.1042 49.9405)
05/05/2020 04:15:00 PM,B - Scotia & N of Seven Oaks,9,20,,,29,8,9,,,17,17,29,,,46,POINT (-97.1135 49.9313)
05/15/2020 04:15:00 AM,B - Egerton & N of Clonard,0,0,,,0,0,0,,,0,0,0,,,0,POINT (-97.1 49.8666)
04/30/2020 06:30:00 PM,A - Lyndale & S of Cromwell,8,6,,,14,11,9,,,20,19,15,,,34,POINT (-97.130648 49.88053200000001)
05/06/2020 12:30:00 AM,B - Scotia & N of Seven Oaks,0,1,,,1,0,1,,,1,0,2,,,2,POINT (-97.1135 49.9313)
05/14/2020 02:00:00 PM,B - Assiniboine & E of Rouge,,,0,0,0,,,1,0,1,,,1,0,1,POINT (-97.3003 49.8657)
05/01/2020 05:00:00 AM,B - Lyndale & S of Highfield,0,0,,,0,1,0,,,1,1,0,,,1,POINT (-97.135257 49.875265)
05/06/2020 11:45:00 PM,C - Kildonan & N of Helmsdale,1,0,,,1,0,0,,,0,1,0,,,1,POINT (-97.1088 49.930400000000006)
04/29/2020 10:15:00 AM,B - Wellington & W of Oak,,,8,7,15,,,12,28,40,,,20,35,55,POINT (-97.18031 49.876514)
05/06/2020 10:00:00 AM,C - Kildonan & N of Helmsdale,0,0,,,0,8,4,,,12,8,4,,,12,POINT (-97.1088 49.930400000000006)
05/15/2020 06:15:00 AM,B - Egerton & N of Clonard,0,0,,,0,0,1,,,1,0,1,,,1,POINT (-97.1 49.8666)
05/14/2020 01:30:00 PM,B - Assiniboine & E of Rouge,,,0,0,0,,,0,2,2,,,0,2,2,POINT (-97.3003 49.8657)
05/14/2020 01:45:00 PM,B - Egerton & N of Clonard,2,0,,,2,3,0,,,3,5,0,,,5,POINT (-97.1 49.8666)
05/15/2020 07:00:00 AM,B - Egerton & N of Clonard,0,0,,,0,0,0,,,0,0,0,,,0,POINT (-97.1 49.8666)
05/06/2020 07:15:00 AM,C - Kildonan & N of Helmsdale,0,0,,,0,0,3,,,3,0,3,,,3,POINT (-97.1088 49.930400000000006)
04/30/2020 06:15:00 AM,B - Wellington & W of Oak,,,3,2,5,,,3,2,5,,,6,4,10,POINT (-97.18031 49.876514)
05/12/2020 03:15:00 PM,B - Kilkenny & N of Prestwood,1,10,,,11,3,4,,,7,4,14,,,18,POINT (-97.1367 49.7926)
05/14/2020 04:30:00 PM,B - Egerton & N of Clonard,0,1,,,1,5,0,,,5,5,1,,,6,POINT (-97.1 49.8666)
04/29/2020 05:15:00 PM,C - Wellington & W of Maryland Bridge,,,18,43,61,,,29,28,57,,,47,71,118,POINT (-97.164136 49.877286000000005)
05/12/2020 07:00:00 AM,B - Kilkenny & N of Prestwood,1,0,,,1,1,4,,,5,2,4,,,6,POINT (-97.1367 49.7926)
05/06/2020 03:00:00 AM,C - Kildonan & N of Helmsdale,0,0,,,0,0,0,,,0,0,0,,,0,POINT (-97.1088 49.930400000000006)
05/12/2020 03:45:00 AM,B - Churchill & E of Eccles S,,,0,0,0,,,0,0,0,,,0,0,0,POINT (-97.116 49.8636)
04/29/2020 08:15:00 PM,B - Wellington & W of Oak,,,34,29,63,,,44,48,92,,,78,77,155,POINT (-97.18031 49.876514)
05/14/2020 08:30:00 PM,C - Egerton & N of Bank,1,1,,,2,8,4,,,12,9,5,,,14,POINT (-97.0984 49.8622)
04/29/2020 04:30:00 PM,B - Wellington & W of Oak,,,38,50,88,,,26,45,71,,,64,95,159,POINT (-97.18031 49.876514)
05/06/2020 05:15:00 AM,B - Wolseley & E of Garfield,,,0,0,0,,,0,2,2,,,0,2,2,POINT (-97.177 49.8796)
04/30/2020 07:00:00 AM,B - Wellington & W of Oak,,,4,6,10,,,6,5,11,,,10,11,21,POINT (-97.18031 49.876514)
05/14/2020 12:30:00 PM,B - Egerton & N of Clonard,0,0,,,0,3,7,,,10,3,7,,,10,POINT (-97.1 49.8666)
05/14/2020 01:45:00 PM,B - Assiniboine & E of Rouge,,,0,0,0,,,1,0,1,,,1,0,1,POINT (-97.3003 49.8657)
05/15/2020 11:00:00 AM,B - Egerton & N of Clonard,1,0,,,1,1,2,,,3,2,2,,,4,POINT (-97.1 49.8666)
05/12/2020 06:45:00 PM,C - Kilkenny & N of Burgess,18,20,,,38,2,2,,,4,20,22,,,42,POINT (-97.1394 49.7851)
04/29/2020 11:30:00 PM,B - Wellington & W of Oak,,,0,3,3,,,1,0,1,,,1,3,4,POINT (-97.18031 49.876514)
05/14/2020 09:00:00 PM,C - Egerton & N of Bank,0,0,,,0,6,12,,,18,6,12,,,18,POINT (-97.0984 49.8622)
05/06/2020 04:00:00 PM,C - Kildonan & N of Helmsdale,13,6,,,19,2,5,,,7,15,11,,,26,POINT (-97.1088 49.930400000000006)
04/30/2020 04:30:00 PM,B - Lyndale & S of Highfield,4,2,,,6,24,10,,,34,28,12,,,40,POINT (-97.135257 49.875265)
05/05/2020 04:45:00 PM,B - Wolseley & E of Garfield,,,12,10,22,,,28,21,49,,,40,31,71,POINT (-97.177 49.8796)
05/12/2020 06:15:00 PM,B - Churchill & E of Eccles S,,,3,6,9,,,7,10,17,,,10,16,26,POINT (-97.116 49.8636)
05/14/2020 03:45:00 PM,B - Assiniboine & E of Rouge,,,0,0,0,,,3,5,8,,,3,5,8,POINT (-97.3003 49.8657)
05/06/2020 12:00:00 AM,B - Wolseley & E of Garfield,,,0,0,0,,,0,0,0,,,0,0,0,POINT (-97.177 49.8796)
05/06/2020 06:00:00 AM,B - Wolseley & E of Garfield,,,0,0,0,,,1,0,1,,,1,0,1,POINT (-97.177 49.8796)
05/06/2020 07:45:00 AM,C - Kildonan & N of Helmsdale,0,1,,,1,5,0,,,5,5,1,,,6,POINT (-97.1088 49.930400000000006)
05/14/2020 02:45:00 PM,B - Assiniboine & E of Rouge,,,0,0,0,,,0,1,1,,,0,1,1,POINT (-97.3003 49.8657)
05/12/2020 09:15:00 AM,B - Kilkenny & N of Prestwood,0,0,,,0,6,2,,,8,6,2,,,8,POINT (-97.1367 49.7926)
04/30/2020 02:00:00 AM,B - Wellington & W of Oak,,,0,0,0,,,0,0,0,,,0,0,0,POINT (-97.18031 49.876514)
05/06/2020 07:00:00 PM,B - Kildonan & N of Mossdale,8,6,,,14,9,16,,,25,17,22,,,39,POINT (-97.1066 49.9369)
05/12/2020 05:00:00 AM,B - Churchill & E of Eccles S,,,0,0,0,,,0,0,0,,,0,0,0,POINT (-97.116 49.8636)
04/30/2020 10:45:00 AM,B - Lyndale & S of Highfield,1,4,,,5,3,7,,,10,4,11,,,15,POINT (-97.135257 49.875265)
05/05/2020 06:00:00 PM,C - Wolseley & W of Maryland,,,8,6,14,,,18,6,24,,,26,12,38,POINT (-97.1618 49.88040000000001)
05/12/2020 02:45:00 PM,B - Kilkenny & N of Prestwood,5,4,,,9,2,3,,,5,7,7,,,14,POINT (-97.1367 49.7926)
05/15/2020 06:00:00 AM,B - Assiniboine & E of Rouge,,,0,0,0,,,1,3,4,,,1,3,4,POINT (-97.3003 49.8657)
04/30/2020 01:00:00 PM,B - Lyndale & S of Highfield,6,3,,,9,8,9,,,17,14,12,,,26,POINT (-97.135257 49.875265)
05/06/2020 04:00:00 AM,C - Kildonan & N of Helmsdale,0,0,,,0,0,0,,,0,0,0,,,0,POINT (-97.1088 49.930400000000006)
05/12/2020 12:30:00 AM,B - Churchill & E of Eccles S,,,0,0,0,,,0,0,0,,,0,0,0,POINT (-97.116 49.8636)
05/06/2020 06:30:00 AM,C - Kildonan & N of Helmsdale,0,0,,,0,4,4,,,8,4,4,,,8,POINT (-97.1088 49.930400000000006)
05/15/2020 09:30:00 AM,B - Assiniboine & E of Rouge,,,0,1,1,,,1,3,4,,,1,4,5,POINT (-97.3003 49.8657)
05/05/2020 10:45:00 PM,B - Wolseley & E of Garfield,,,0,2,2,,,3,3,6,,,3,5,8,POINT (-97.177 49.8796)
04/30/2020 06:00:00 AM,B - Wellington & W of Oak,,,1,1,2,,,3,5,8,,,4,6,10,POINT (-97.18031 49.876514)
05/06/2020 03:30:00 AM,B - Scotia & N of Seven Oaks,0,0,,,0,0,0,,,0,0,0,,,0,POINT (-97.1135 49.9313)
04/29/2020 11:00:00 AM,B - Wellington & W of Oak,,,16,15,31,,,33,25,58,,,49,40,89,POINT (-97.18031 49.876514)
05/12/2020 11:00:00 AM,B - Churchill & E of Eccles S,,,1,3,4,,,11,10,21,,,12,13,25,POINT (-97.116 49.8636)
04/30/2020 12:30:00 AM,B - Wellington & W of Oak,,,0,0,0,,,0,0,0,,,0,0,0,POINT (-97.18031 49.876514)
05/06/2020 03:15:00 PM,C - Kildonan & N of Helmsdale,11,12,,,23,8,8,,,16,19,20,,,39,POINT (-97.1088 49.930400000000006)
04/29/2020 05:00:00 PM,B - Wellington & W of Oak,,,39,60,99,,,62,69,131,,,101,129,230,POINT (-97.18031 49.876514)
05/14/2020 04:15:00 PM,B - Egerton & N of Clonard,1,1,,,2,4,1,,,5,5,2,,,7,POINT (-97.1 49.8666)
05/06/2020 11:00:00 AM,B - Scotia & N of Seven Oaks,2,3,,,5,6,2,,,8,8,5,,,13,POINT (-97.1135 49.9313)
04/29/2020 02:15:00 PM,B - Wellington & W of Oak,,,31,52,83,,,36,48,84,,,67,100,167,POINT (-97.18031 49.876514)
05/01/2020 01:45:00 AM,B - Lyndale & S of Highfield,0,1,,,1,2,0,,,2,2,1,,,3,POINT (-97.135257 49.875265)
04/30/2020 02:15:00 PM,B - Lyndale & S of Highfield,5,5,,,10,12,7,,,19,17,12,,,29,POINT (-97.135257 49.875265)
04/30/2020 11:00:00 PM,B - Lyndale & S of Highfield,0,0,,,0,0,0,,,0,0,0,,,0,POINT (-97.135257 49.875265)
05/06/2020 06:45:00 AM,C - Kildonan & N of Helmsdale,0,0,,,0,1,2,,,3,1,2,,,3,POINT (-97.1088 49.930400000000006)
05/06/2020 12:15:00 PM,B - Scotia & N of Seven Oaks,7,2,,,9,4,4,,,8,11,6,,,17,POINT (-97.1135 49.9313)
05/14/2020 08:00:00 PM,A - Egerton & N of Vivian,1,12,,,13,3,10,,,13,4,22,,,26,POINT (-97.104 49.8706)
05/12/2020 09:45:00 AM,B - Churchill & E of Eccles S,,,1,1,2,,,7,0,7,,,8,1,9,POINT (-97.116 49.8636)
04/29/2020 11:45:00 PM,B - Wellington & W of Oak,,,0,1,1,,,2,0,2,,,2,1,3,POINT (-97.18031 49.876514)
05/15/2020 01:15:00 AM,B - Egerton & N of Clonard,0,0,,,0,0,0,,,0,0,0,,,0,POINT (-97.1 49.8666)
05/05/2020 04:30:00 PM,C - Wolseley & W of Maryland,,,12,6,18,,,9,6,15,,,21,12,33,POINT (-97.1618 49.88040000000001)
05/01/2020 06:30:00 AM,B - Lyndale & S of Highfield,2,0,,,2,2,0,,,2,4,0,,,4,POINT (-97.135257 49.875265)
04/29/2020 09:45:00 PM,B - Wellington & W of Oak,,,3,2,5,,,13,3,16,,,16,5,21,POINT (-97.18031 49.876514)
05/12/2020 11:15:00 PM,B - Churchill & E of Eccles S,,,0,0,0,,,0,2,2,,,0,2,2,POINT (-97.116 49.8636)
05/14/2020 09:30:00 PM,B - Assiniboine & E of Rouge,,,0,0,0,,,1,0,1,,,1,0,1,POINT (-97.3003 49.8657)
05/05/2020 04:45:00 PM,B - Scotia & N of Seven Oaks,14,7,,,21,7,6,,,13,21,13,,,34,POINT (-97.1135 49.9313)
04/30/2020 03:45:00 AM,B - Wellington & W of Oak,,,0,0,0,,,0,0,0,,,0,0,0,POINT (-97.18031 49.876514)
05/06/2020 06:45:00 PM,A - Kildonan & N of Irving,4,15,,,19,11,11,,,22,15,26,,,41,POINT (-97.0941 49.9444)
05/12/2020 01:15:00 AM,B - Churchill & E of Eccles S,,,0,0,0,,,0,0,0,,,0,0,0,POINT (-97.116 49.8636)
05/06/2020 09:00:00 AM,B - Scotia & N of Seven Oaks,1,1,,,2,1,4,,,5,2,5,,,7,POINT (-97.1135 49.9313)
04/29/2020 09:30:00 AM,B - Wellington & W of Oak,,,1,5,6,,,13,24,37,,,14,29,43,POINT (-97.18031 49.876514)
05/12/2020 03:15:00 AM,B - Churchill & E of Eccles S,,,0,0,0,,,0,0,0,,,0,0,0,POINT (-97.116 49.8636)
05/15/2020 10:15:00 AM,B - Egerton & N of Clonard,1,0,,,1,8,2,,,10,9,2,,,11,POINT (-97.1 49.8666)
05/06/2020 05:00:00 AM,B - Wolseley & E of Garfield,,,0,1,1,,,0,0,0,,,0,1,1,POINT (-97.177 49.8796)
05/05/2020 02:45:00 PM,B - Wolseley & E of Garfield,,,13,17,30,,,17,16,33,,,30,33,63,POINT (-97.177 49.8796)
04/29/2020 06:30:00 PM,A - Wellington & E of Academy,,,45,43,88,,,13,9,22,,,58,52,110,POINT (-97.206389 49.87613)
05/15/2020 12:00:00 AM,B - Egerton & N of Clonard,0,0,,,0,0,0,,,0,0,0,,,0,POINT (-97.1 49.8666)
05/05/2020 10:30:00 PM,B - Wolseley & E of Garfield,,,1,2,3,,,3,3,6,,,4,5,9,POINT (-97.177 49.8796)
05/12/2020 01:45:00 AM,B - Kilkenny & N of Prestwood,0,0,,,0,0,0,,,0,0,0,,,0,POINT (-97.1367 49.7926)
04/29/2020 07:45:00 PM,B - Wellington & W of Oak,,,37,34,71,,,48,36,84,,,85,70,155,POINT (-97.18031 49.876514)
05/12/2020 01:45:00 PM,B - Kilkenny & N of Prestwood,1,4,,,5,3,10,,,13,4,14,,,18,POINT (-97.1367 49.7926)
05/12/2020 07:15:00 PM,B - Kilkenny & N of Prestwood,7,12,,,19,3,7,,,10,10,19,,,29,POINT (-97.1367 49.7926)
05/12/2020 06:30:00 PM,B - Churchill & E of Eccles S,,,10,9,19,,,10,7,17,,,20,16,36,POINT (-97.116 49.8636)
04/30/2020 09:00:00 AM,B - Wellington & W of Oak,,,3,7,10,,,17,17,34,,,20,24,44,POINT (-97.18031 49.876514)
05/06/2020 05:00:00 AM,C - Kildonan & N of Helmsdale,0,0,,,0,0,0,,,0,0,0,,,0,POINT (-97.1088 49.930400000000006)
05/12/2020 02:15:00 AM,B - Churchill & E of Eccles S,,,0,0,0,,,0,0,0,,,0,0,0,POINT (-97.116 49.8636)
04/29/2020 04:15:00 PM,B - Wellington & W of Oak,,,50,43,93,,,55,46,101,,,105,89,194,POINT (-97.18031 49.876514)
05/05/2020 01:30:00 PM,B - Scotia & N of Seven Oaks,14,9,,,23,5,7,,,12,19,16,,,35,POINT (-97.1135 49.9313)
05/15/2020 05:30:00 AM,B - Assiniboine & E of Rouge,,,0,0,0,,,0,1,1,,,0,1,1,POINT (-97.3003 49.8657)
05/05/2020 02:00:00 PM,B - Wolseley & E of Garfield,,,15,7,22,,,8,17,25,,,23,24,47,POINT (-97.177 49.8796)
05/05/2020 05:30:00 PM,C - Wolseley & W of Maryland,,,22,4,26,,,12,10,22,,,34,14,48,POINT (-97.1618 49.88040000000001)
05/06/2020 02:30:00 AM,C - Kildonan & N of Helmsdale,0,0,,,0,0,0,,,0,0,0,,,0,POINT (-97.1088 49.930400000000006)
05/14/2020 12:45:00 PM,B - Egerton & N of Clonard,0,5,,,5,1,3,,,4,1,8,,,9,POINT (-97.1 49.8666)
04/29/2020 05:30:00 PM,A - Wellington & E of Academy,,,73,47,120,,,21,13,34,,,94,60,154,POINT (-97.206389 49.87613)
05/05/2020 10:00:00 PM,B - Scotia & N of Seven Oaks,0,0,,,0,3,1,,,4,3,1,,,4,POINT (-97.1135 49.9313)
04/30/2020 12:45:00 AM,B - Wellington & W of Oak,,,1,0,1,,,0,0,0,,,1,0,1,POINT (-97.18031 49.876514)
05/15/2020 02:30:00 AM,B - Egerton & N of Clonard,0,0,,,0,0,0,,,0,0,0,,,0,POINT (-97.1 49.8666)
05/12/2020 11:30:00 AM,B - Churchill & E of Eccles S,,,2,0,2,,,7,7,14,,,9,7,16,POINT (-97.116 49.8636)
05/06/2020 04:30:00 AM,B - Wolseley & E of Garfield,,,1,0,1,,,0,0,0,,,1,0,1,POINT (-97.177 49.8796)
05/05/2020 03:45:00 PM,B - Scotia & N of Seven Oaks,11,17,,,28,5,2,,,7,16,19,,,35,POINT (-97.1135 49.9313)
05/06/2020 08:30:00 PM,C - Kildonan & N of Helmsdale,1,4,,,5,8,7,,,15,9,11,,,20,POINT (-97.1088 49.930400000000006)
05/05/2020 07:30:00 PM,A - Scotia & S of Armstrong,8,7,,,15,0,1,,,1,8,8,,,16,POINT (-97.1042 49.9405)
04/29/2020 10:30:00 AM,B - Wellington & W of Oak,,,9,10,19,,,16,21,37,,,25,31,56,POINT (-97.18031 49.876514)
05/12/2020 04:45:00 AM,B - Kilkenny & N of Prestwood,0,0,,,0,0,0,,,0,0,0,,,0,POINT (-97.1367 49.7926)
05/12/2020 05:30:00 PM,B - Kilkenny & N of Prestwood,5,12,,,17,10,7,,,17,15,19,,,34,POINT (-97.1367 49.7926)
05/15/2020 04:30:00 AM,B - Egerton & N of Clonard,0,0,,,0,0,0,,,0,0,0,,,0,POINT (-97.1 49.8666)
05/14/2020 05:00:00 PM,B - Egerton & N of Clonard,0,0,,,0,6,6,,,12,6,6,,,12,POINT (-97.1 49.8666)
05/06/2020 04:15:00 AM,C - Kildonan & N of Helmsdale,0,0,,,0,0,0,,,0,0,0,,,0,POINT (-97.1088 49.930400000000006)
05/14/2020 04:45:00 PM,B - Assiniboine & E of Rouge,,,0,0,0,,,4,2,6,,,4,2,6,POINT (-97.3003 49.8657)
04/30/2020 04:00:00 AM,B - Wellington & W of Oak,,,0,1,1,,,0,0,0,,,0,1,1,POINT (-97.18031 49.876514)
05/14/2020 09:15:00 PM,C - Egerton & N of Bank,1,0,,,1,9,2,,,11,10,2,,,12,POINT (-97.0984 49.8622)
05/14/2020 07:30:00 PM,A - Egerton & N of Vivian,7,0,,,7,5,3,,,8,12,3,,,15,POINT (-97.104 49.8706)
05/01/2020 06:45:00 AM,B - Lyndale & S of Highfield,2,0,,,2,0,3,,,3,2,3,,,5,POINT (-97.135257 49.875265)
05/05/2020 02:00:00 PM,B - Scotia & N of Seven Oaks,4,7,,,11,12,10,,,22,16,17,,,33,POINT (-97.1135 49.9313)
05/06/2020 12:45:00 AM,B - Scotia & N of Seven Oaks,0,0,,,0,0,0,,,0,0,0,,,0,POINT (-97.1135 49.9313)
05/14/2020 05:45:00 PM,B - Egerton & N of Clonard,0,1,,,1,5,5,,,10,5,6,,,11,POINT (-97.1 49.8666)
04/30/2020 05:00:00 AM,B - Wellington & W of Oak,,,0,0,0,,,0,0,0,,,0,0,0,POINT (-97.18031 49.876514)
05/01/2020 06:00:00 AM,B - Lyndale & S of Highfield,0,1,,,1,1,1,,,2,1,2,,,3,POINT (-97.135257 49.875265)
05/06/2020 11:00:00 PM,C - Kildonan & N of Helmsdale,0,1,,,1,0,0,,,0,0,1,,,1,POINT (-97.1088 49.930400000000006)
05/05/2020 05:15:00 PM,C - Wolseley & W of Maryland,,,17,16,33,,,10,3,13,,,27,19,46,POINT (-97.1618 49.88040000000001)
05/05/2020 04:45:00 PM,C - Wolseley & W of Maryland,,,7,4,11,,,9,19,28,,,16,23,39,POINT (-97.1618 49.88040000000001)
05/12/2020 10:30:00 AM,B - Kilkenny & N of Prestwood,0,1,,,1,3,1,,,4,3,2,,,5,POINT (-97.1367 49.7926)
05/14/2020 06:15:00 PM,B - Assiniboine & E of Rouge,,,0,0,0,,,1,1,2,,,1,1,2,POINT (-97.3003 49.8657)
05/12/2020 07:15:00 PM,A - Churchill & E of Cockburn S,,,4,5,9,,,8,11,19,,,12,16,28,POINT (-97.13960000000002 49.8558)
05/05/2020 09:15:00 PM,B - Wolseley & E of Garfield,,,5,1,6,,,13,7,20,,,18,8,26,POINT (-97.177 49.8796)
04/30/2020 04:15:00 PM,B - Lyndale & S of Highfield,4,5,,,9,12,16,,,28,16,21,,,37,POINT (-97.135257 49.875265)
05/12/2020 08:00:00 AM,B - Kilkenny & N of Prestwood,0,1,,,1,2,2,,,4,2,3,,,5,POINT (-97.1367 49.7926)
04/29/2020 12:30:00 PM,B - Wellington & W of Oak,,,27,21,48,,,22,25,47,,,49,46,95,POINT (-97.18031 49.876514)
05/12/2020 09:30:00 PM,B - Churchill & E of Eccles S,,,0,2,2,,,1,12,13,,,1,14,15,POINT (-97.116 49.8636)
05/15/2020 08:15:00 AM,B - Egerton & N of Clonard,2,0,,,2,1,4,,,5,3,4,,,7,POINT (-97.1 49.8666)
05/06/2020 08:15:00 AM,B - Scotia & N of Seven Oaks,1,0,,,1,3,4,,,7,4,4,,,8,POINT (-97.1135 49.9313)
05/05/2020 05:45:00 PM,B - Scotia & N of Seven Oaks,12,4,,,16,25,1,,,26,37,5,,,42,POINT (-97.1135 49.9313)
05/14/2020 12:15:00 PM,B - Egerton & N of Clonard,0,3,,,3,6,1,,,7,6,4,,,10,POINT (-97.1 49.8666)
05/14/2020 02:30:00 PM,B - Assiniboine & E of Rouge,,,0,5,5,,,2,0,2,,,2,5,7,POINT (-97.3003 49.8657)
05/05/2020 09:30:00 PM,B - Scotia & N of Seven Oaks,0,5,,,5,4,0,,,4,4,5,,,9,POINT (-97.1135 49.9313)
05/01/2020 06:15:00 AM,B - Lyndale & S of Highfield,0,0,,,0,0,0,,,0,0,0,,,0,POINT (-97.135257 49.875265)
05/01/2020 07:15:00 AM,B - Lyndale & S of Highfield,0,0,,,0,3,4,,,7,3,4,,,7,POINT (-97.135257 49.875265)
05/05/2020 05:15:00 PM,B - Wolseley & E of Garfield,,,20,23,43,,,19,21,40,,,39,44,83,POINT (-97.177 49.8796)
05/12/2020 06:00:00 PM,B - Churchill & E of Eccles S,,,9,1,10,,,7,8,15,,,16,9,25,POINT (-97.116 49.8636)
05/12/2020 06:30:00 PM,A - Churchill & E of Cockburn S,,,9,10,19,,,7,6,13,,,16,16,32,POINT (-97.13960000000002 49.8558)
04/30/2020 10:30:00 PM,B - Lyndale & S of Highfield,0,0,,,0,1,1,,,2,1,1,,,2,POINT (-97.135257 49.875265)
05/14/2020 07:00:00 PM,B - Assiniboine & E of Rouge,,,0,0,0,,,3,5,8,,,3,5,8,POINT (-97.3003 49.8657)
05/06/2020 09:30:00 PM,C - Kildonan & N of Helmsdale,1,0,,,1,1,0,,,1,2,0,,,2,POINT (-97.1088 49.930400000000006)
05/06/2020 01:45:00 AM,B - Wolseley & E of Garfield,,,0,0,0,,,0,0,0,,,0,0,0,POINT (-97.177 49.8796)
04/30/2020 04:00:00 PM,B - Lyndale & S of Highfield,2,10,,,12,15,9,,,24,17,19,,,36,POINT (-97.135257 49.875265)
04/29/2020 05:45:00 PM,C - Wellington & W of Maryland Bridge,,,42,20,62,,,14,28,42,,,56,48,104,POINT (-97.164136 49.877286000000005)
05/12/2020 09:45:00 AM,B - Kilkenny & N of Prestwood,1,0,,,1,1,4,,,5,2,4,,,6,POINT (-97.1367 49.7926)
05/05/2020 05:45:00 PM,A - Wolseley & E of Raglan,,,14,20,34,,,19,29,48,,,33,49,82,POINT (-97.1906 49.8793)
05/12/2020 03:30:00 AM,B - Kilkenny & N of Prestwood,0,0,,,0,0,0,,,0,0,0,,,0,POINT (-97.1367 49.7926)
