Timestamp,Site,Cyclists-Northbound,Cyclists-Southbound,Cyclists-Eastbound,Cyclists-Westbound,Cyclists-Total,Pedestrians-Northbound,Pedestrians-Southbound,Pedestrians-Eastbound,Pedestrians-Westbound,Pedestrians-Total,All-Northbound,All-Southbound,All-Eastbound,All-Westbound,All-Total,Location
05/12/2020 10:30:00 AM,B - Churchill & E of Eccles S,,,1,3,4,,,3,2,5,,,4,5,9,POINT (-97.116 49.8636)
05/05/2020 05:45:00 PM,C - Wolseley & W of Maryland,,,14,9,23,,,21,15,36,,,35,24,59,POINT (-97.1618 49.88040000000001)
05/05/2020 03:00:00 PM,B - Scotia & N of Seven Oaks,10,9,,,19,5,4,,,9,15,13,,,28,POINT (-97.1135 49.9313)
05/05/2020 11:30:00 PM,B - Scotia & N of Seven Oaks,0,1,,,1,0,0,,,0,0,1,,,1,POINT (-97.1135 49.9313)
05/06/2020 05:45:00 AM,B - Scotia & N of Seven Oaks,0,0,,,0,0,1,,,1,0,1,,,1,POINT (-97.1135 49.9313)
05/12/2020 11:00:00 PM,B - Churchill & E of Eccles S,,,0,0,0,,,3,0,3,,,3,0,3,POINT (-97.116 49.8636)
05/12/2020 07:15:00 AM,B - Kilkenny & N of Prestwood,0,0,,,0,2,3,,,5,2,3,,,5,POINT (-97.1367 49.7926)
05/14/2020 11:45:00 PM,B - Assiniboine & E of Rouge,,,0,0,0,,,0,0,0,,,0,0,0,POINT (-97.3003 49.8657)
05/06/2020 04:15:00 AM,B - Wolseley & E of Garfield,,,0,0,0,,,0,0,0,,,0,0,0,POINT (-97.177 49.8796)
05/12/2020 03:00:00 PM,B - Churchill & E of Eccles S,,,7,5,12,,,4,16,20,,,11,21,32,POINT (-97.116 49.8636)
05/12/2020 06:15:00 PM,B - Kilkenny & N of Prestwood,6,9,,,15,1,3,,,4,7,12,,,19,POINT (-97.1367 49.7926)
04/30/2020 01:00:00 AM,B - Wellington & W of Oak,,,1,0,1,,,0,0,0,,,1,0,1,POINT (-97.18031 49.876514)
05/14/2020 01:00:00 PM,B - Assiniboine & E of Rouge,,,0,0,0,,,3,1,4,,,3,1,4,POINT (-97.3003 49.8657)
05/06/2020 10:15:00 AM,B - Scotia & N of Seven Oaks,1,0,,,1,2,3,,,5,3,3,,,6,POINT (-97.1135 49.9313)
05/14/2020 02:15:00 PM,B - Egerton & N of Clonard,2,3,,,5,3,2,,,5,5,5,,,10,POINT (-97.1 49.8666)
05/06/2020 04:45:00 AM,B - Scotia & N of Seven Oaks,0,0,,,0,0,0,,,0,0,0,,,0,POINT (-97.1135 49.9313)
05/14/2020 10:00:00 AM,B - Assiniboine & E of Rouge,,,0,0,0,,,6,4,10,,,6,4,10,POINT (-97.3003 49.8657)
05/05/2020 09:45:00 PM,B - Wolseley & E of Garfield,,,4,4,8,,,2,4,6,,,6,8,14,POINT (-97.177 49.8796)
