collected_date,reported_date,school_board,municipality,confirmed_school_partner_cases
2020-10-29,2020-10-30,Toronto District School Board,Toronto,2
2020-10-30,2020-11-02,Le Conseil scolaire catholique MonAvenir,Toronto,2
2020-10-30,2020-11-02,Toronto District School Board,Toronto,2
2020-11-02,2020-11-03,Le Conseil scolaire catholique MonAvenir,Toronto,2
2020-11-02,2020-11-03,Toronto District School Board,Toronto,3
2020-11-03,2020-11-04,Le Conseil scolaire catholique MonAvenir,Toronto,1
2020-11-03,2020-11-04,Toronto District School Board,Toronto,3
2020-11-03,2020-11-04,Peel District School Board,Brampton,1
2020-11-04,2020-11-05,Le Conseil scolaire catholique MonAvenir,Toronto,2
2020-11-04,2020-11-05,Toronto District School Board,Toronto,2
2020-11-04,2020-11-05,Peel District School Board,Brampton,1
2020-11-05,2020-11-06,Le Conseil scolaire catholique MonAvenir,Toronto,2
2020-11-05,2020-11-06,Peel District School Board,Brampton,1
2020-11-05,2020-11-06,Toronto District School Board,Toronto,2
2020-11-06,2020-11-09,Le Conseil scolaire catholique MonAvenir,Toronto,1
2020-11-06,2020-11-09,Peel District School Board,Brampton,1
2020-11-06,2020-11-09,Toronto District School Board,Toronto,2
2020-11-09,2020-11-10,Le Conseil scolaire catholique MonAvenir,Toronto,1
2020-11-09,2020-11-10,Peel District School Board,Brampton,1
2020-11-09,2020-11-10,Toronto District School Board,Toronto,1
2020-11-10,2020-11-11,Le Conseil scolaire catholique MonAvenir,Toronto,1
2020-11-10,2020-11-11,Peel District School Board,Brampton,2
2020-11-10,2020-11-11,Toronto District School Board,Toronto,1
2020-11-10,2020-11-11,Halton District School Board,Oakville,1
2020-11-11,2020-11-12,Le Conseil scolaire catholique MonAvenir,Toronto,1
2020-11-11,2020-11-12,Peel District School Board,Brampton,2
2020-11-11,2020-11-12,Toronto District School Board,Toronto,1
2020-11-11,2020-11-12,Halton District School Board,Oakville,1
2020-11-12,2020-11-13,Le Conseil scolaire catholique MonAvenir,Toronto,1
2020-11-12,2020-11-13,Peel District School Board,Brampton,2
2020-11-12,2020-11-13,Toronto District School Board,Toronto,1
2020-11-12,2020-11-13,Halton District School Board,Oakville,1
2020-11-13,2020-11-16,Halton District School Board,Oakville,1
2020-11-13,2020-11-16,Le Conseil scolaire catholique MonAvenir,Mississauga,1
2020-11-13,2020-11-16,Le Conseil scolaire catholique MonAvenir,Toronto,1
2020-11-13,2020-11-16,Peel District School Board,Brampton,2
2020-11-13,2020-11-16,Toronto District School Board,Toronto,1
2020-11-16,2020-11-17,Halton District School Board,Oakville,1
2020-11-16,2020-11-17,Halton District School Board,Milton,1
2020-11-16,2020-11-17,Le Conseil scolaire catholique MonAvenir,Mississauga,1
2020-11-16,2020-11-17,Le Conseil scolaire catholique MonAvenir,Toronto,1
2020-11-16,2020-11-17,Peel District School Board,Brampton,2
2020-11-17,2020-11-18,Halton District School Board,Oakville,1
2020-11-17,2020-11-18,Halton District School Board,Milton,1
2020-11-17,2020-11-18,Le Conseil scolaire catholique MonAvenir,Mississauga,1
2020-11-17,2020-11-18,Le Conseil scolaire catholique MonAvenir,Toronto,1
2020-11-17,2020-11-18,Peel District School Board,Brampton,1
2020-11-18,2020-11-19,Halton District School Board,Oakville,1
2020-11-18,2020-11-19,Halton District School Board,Milton,1
2020-11-18,2020-11-19,Le Conseil scolaire catholique MonAvenir,Mississauga,1
2020-11-18,2020-11-19,Peel District School Board,Brampton,1
2020-11-19,2020-11-20,Halton District School Board,Oakville,1
2020-11-19,2020-11-20,Halton District School Board,Milton,1
2020-11-19,2020-11-20,Le Conseil scolaire catholique MonAvenir,Mississauga,1
2020-11-19,2020-11-20,Peel District School Board,Brampton,1
2020-11-20,2020-11-23,Halton District School Board,Oakville,1
2020-11-20,2020-11-23,Halton District School Board,Milton,1
2020-11-20,2020-11-23,Le Conseil scolaire catholique MonAvenir,Mississauga,1
2020-11-20,2020-11-23,Peel District School Board,Brampton,1
2020-11-23,2020-11-24,Halton District School Board,Oakville,1
2020-11-23,2020-11-24,Halton District School Board,Milton,1
2020-11-23,2020-11-24,Le Conseil scolaire catholique MonAvenir,Mississauga,1
2020-11-23,2020-11-24,Peel District School Board,Brampton,1
2020-11-24,2020-11-25,Halton District School Board,Milton,1
2020-11-24,2020-11-25,Le Conseil scolaire catholique MonAvenir,Mississauga,1
2020-11-25,2020-11-26,Halton District School Board,Milton,1
2020-11-25,2020-11-26,Le Conseil scolaire catholique MonAvenir,Mississauga,1
2020-11-26,2020-11-27,Halton District School Board,Milton,1
2020-11-26,2020-11-27,Le Conseil scolaire catholique MonAvenir,Mississauga,1
